2026-02-25T00:31:53.752063 | BTCUSDT | WATCH | Flat | Score: -6.5
2026-02-25T00:31:53.752951 | ETHUSDT | WATCH | Flat | Score: -6.5
2026-02-25T00:31:53.753773 | BNBUSDT | WATCH | Flat | Score: -2.3
2026-02-25T01:08:06.012936 | BTCUSDT | WATCH | Flat | Score: -6.5
2026-02-25T01:08:06.013809 | ETHUSDT | WATCH | Flat | Score: -6.5
2026-02-25T01:08:06.014744 | BNBUSDT | WATCH | Flat | Score: -2.3
2026-02-25T01:18:05.259153 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T01:18:05.260052 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T01:18:05.260902 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T01:28:05.317951 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T01:28:05.318856 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T01:28:05.319719 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T01:38:05.686894 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T01:38:05.687796 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T01:38:05.688664 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T01:48:05.359930 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T01:48:05.360863 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T01:48:05.361776 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T01:58:06.354534 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T01:58:06.355436 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T01:58:06.356334 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T02:08:05.182503 | BTCUSDT | WATCH | Flat | Score: -8.1
2026-02-25T02:08:05.183686 | ETHUSDT | WATCH | Flat | Score: -6.1
2026-02-25T02:08:05.184784 | BNBUSDT | WATCH | Flat | Score: -3.0
2026-02-25T02:28:05.321240 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T02:28:05.322210 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T02:28:05.323150 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T02:38:05.615683 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T02:38:05.616809 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T02:38:05.617932 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T02:48:05.159633 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T02:48:05.160619 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T02:48:05.161576 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T02:58:05.125811 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T02:58:05.126807 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T02:58:05.127793 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:08:05.315416 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T03:08:05.316448 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T03:08:05.317437 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:18:05.508198 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T03:18:05.509663 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T03:18:05.510817 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:28:05.259711 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T03:28:05.260755 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T03:28:05.261747 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:38:05.953338 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T03:38:05.954377 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T03:38:05.955385 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:48:05.278857 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T03:48:05.279913 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T03:48:05.280936 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T03:58:05.301045 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T03:58:05.302133 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T03:58:05.303245 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T04:08:05.439235 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T04:08:05.440415 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T04:08:05.441516 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T04:18:05.222921 | BTCUSDT | WATCH | Flat | Score: -5.9
2026-02-25T04:18:05.224203 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T04:18:05.225439 | BNBUSDT | WATCH | Flat | Score: -3.5
2026-02-25T04:28:05.362191 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T04:28:05.363337 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T04:28:05.364519 | BNBUSDT | WATCH | Flat | Score: 3.7
