open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
1771391700000,617.41,618.12,616.56,616.65,393.669,1771392599999,243115.177,3881,,,
1771392600000,616.65,617.0,616.26,616.59,235.677,1771393499999,145330.50443,2512,,,
1771393500000,616.59,617.17,615.93,616.09,350.015,1771394399999,215741.17702,3816,,,
1771394400000,616.08,617.3,616.07,617.19,290.314,1771395299999,179027.85201,3522,,,
1771395300000,617.2,617.97,616.66,617.97,291.207,1771396199999,179764.7057,3145,,,
1771396200000,617.98,618.27,617.16,617.23,458.395,1771397099999,283091.55178,4649,,,
1771397100000,617.23,617.89,616.54,616.55,487.251,1771397999999,300746.80706,2999,,,
1771398000000,616.55,617.65,615.84,615.9,760.432,1771398899999,469151.49994,3696,,,
1771398900000,615.91,615.91,614.8,615.33,754.307,1771399799999,464233.56971,3098,,,
1771399800000,615.32,618.82,615.28,618.66,603.345,1771400699999,372220.98926,6049,,,
1771400700000,618.66,621.42,618.19,620.91,941.343,1771401599999,584151.9116,8648,,,
1771401600000,620.9,621.59,620.11,620.43,392.316,1771402499999,243615.61699,5207,,,
1771402500000,620.43,626.57,620.36,624.36,3145.079,1771403399999,1962255.06853,20731,,,
1771403400000,624.36,625.17,623.22,624.07,1550.14,1771404299999,967740.96364,13469,,,
1771404300000,624.08,624.44,623.13,623.35,1444.335,1771405199999,901037.03861,8766,,,
1771405200000,623.35,624.22,622.74,623.92,631.265,1771406099999,393577.44952,7324,,,
1771406100000,623.92,624.3,622.76,622.77,554.868,1771406999999,345819.52098,5078,,,
1771407000000,622.77,623.78,622.63,623.67,516.908,1771407899999,322262.74858,4613,,,
1771407900000,623.67,623.82,622.84,622.87,708.11,1771408799999,441491.35845,5613,,,
1771408800000,622.88,623.86,622.42,623.58,405.166,1771409699999,252473.33652,6397,,,
1771409700000,623.59,623.59,621.86,622.21,398.702,1771410599999,248157.49315,4379,,,
1771410600000,622.22,622.22,619.4,619.67,796.397,1771411499999,494278.06092,6431,,,
1771411500000,619.67,619.84,618.7,619.1,551.949,1771412399999,341811.33964,6154,,,
1771412400000,619.11,619.48,613.56,615.68,1675.915,1771413299999,1031500.18992,14579,,,
1771413300000,615.67,616.72,615.23,616.36,1098.017,1771414199999,676188.54198,11844,,,
1771414200000,616.35,616.87,615.48,616.19,794.352,1771415099999,489542.07425,8044,,,
1771415100000,616.19,616.96,614.18,614.18,655.339,1771415999999,403391.66634,8619,,,
1771416000000,614.18,616.4,613.95,615.9,962.769,1771416899999,592422.64638,10598,,,
1771416900000,615.9,616.32,614.67,615.8,669.732,1771417799999,412238.20345,6059,,,
1771417800000,615.8,616.47,613.77,616.32,989.08,1771418699999,608201.12671,7951,,,
1771418700000,616.33,616.77,615.46,615.84,454.964,1771419599999,280350.26475,5199,,,
1771419600000,615.85,616.98,614.99,616.47,764.549,1771420499999,471154.04286,7477,,,
1771420500000,616.47,616.92,615.34,616.41,561.297,1771421399999,345734.09164,4687,,,
1771421400000,616.42,616.42,610.38,610.96,2255.347,1771422299999,1382374.16802,14760,,,
1771422300000,610.96,611.28,608.75,610.97,2466.916,1771423199999,1504561.94391,22357,,,
1771423200000,610.97,611.81,610.52,611.43,971.25,1771424099999,593596.30707,10411,,,
1771424100000,611.42,611.73,610.0,610.04,1619.94,1771424999999,989860.70526,12816,,,
1771425000000,610.04,612.47,609.77,611.04,1977.065,1771425899999,1208437.83309,22371,,,
1771425900000,611.04,612.8,607.97,612.29,3448.191,1771426799999,2104352.01542,20734,,,
1771426800000,612.28,615.15,612.06,613.42,2362.407,1771427699999,1449920.28196,19414,,,
1771427700000,613.42,614.78,613.42,614.37,1171.392,1771428599999,719448.9465,14340,,,
1771428600000,614.36,623.17,614.2,621.32,3739.875,1771429499999,2318507.38534,27930,,,
1771429500000,621.32,621.39,617.56,618.25,2913.927,1771430399999,1805295.13981,22112,,,
1771430400000,618.25,618.56,613.6,614.75,2029.727,1771431299999,1249466.25826,22669,,,
1771431300000,614.75,617.27,614.35,616.67,1099.494,1771432199999,677067.83493,10993,,,
1771432200000,616.68,617.28,614.94,616.43,585.422,1771433099999,360674.2962,11872,,,
1771433100000,616.43,617.15,615.38,616.55,2109.533,1771433999999,1299838.57521,11205,,,
1771434000000,616.55,620.59,616.23,617.48,1212.442,1771434899999,750394.07062,13322,,,
1771434900000,617.48,618.76,616.82,617.38,524.516,1771435799999,324069.18548,10054,,,
1771435800000,617.38,618.65,617.14,617.34,585.156,1771436699999,361580.52448,7542,,,
1771436700000,617.34,617.85,616.14,616.48,673.606,1771437599999,415563.4216,7240,,,
1771437600000,616.48,617.16,615.23,615.7,436.075,1771438499999,268594.1094,7011,,,
1771438500000,615.7,616.04,610.75,612.87,1343.678,1771439399999,823364.69351,14039,,,
1771439400000,612.87,614.17,609.23,609.64,1885.768,1771440299999,1152211.88523,14847,,,
1771440300000,609.64,612.02,609.21,610.76,1129.393,1771441199999,689644.5728,11795,,,
1771441200000,610.76,612.27,609.67,610.13,1180.554,1771442099999,721329.30648,14198,,,
1771442100000,610.13,610.39,605.0,605.4,3931.062,1771442999999,2386638.87405,26320,,,
1771443000000,605.4,606.0,601.3,603.51,4963.452,1771443899999,2992723.99832,30429,,,
1771443900000,603.5,605.32,601.5,603.23,1829.023,1771444799999,1104089.0633,13318,,,
1771444800000,603.23,604.85,602.89,603.68,1115.771,1771445699999,673767.77111,15710,,,
1771445700000,603.68,604.7,602.86,603.74,904.826,1771446599999,546430.99005,11555,,,
1771446600000,603.75,605.84,603.75,605.62,1092.99,1771447499999,661314.55438,11272,,,
1771447500000,605.61,606.51,603.3,603.65,1426.984,1771448399999,862936.53879,11157,,,
1771448400000,603.65,604.78,602.0,603.53,889.88,1771449299999,536729.10113,8933,,,
1771449300000,603.53,605.43,603.48,605.42,960.453,1771450199999,580368.90972,6910,,,
1771450200000,605.42,606.07,604.77,605.71,783.659,1771451099999,474477.61778,8491,,,
1771451100000,605.71,605.79,603.68,604.27,761.725,1771451999999,460559.88205,7316,,,
1771452000000,604.27,605.03,602.47,603.15,1621.466,1771452899999,979345.8096,10116,,,
1771452900000,603.15,604.18,602.88,603.56,568.66,1771453799999,343212.50823,6740,,,
1771453800000,603.56,605.7,603.56,605.06,1277.539,1771454699999,772225.69859,6251,,,
1771454700000,605.06,605.74,604.62,604.79,640.144,1771455599999,387499.21805,4642,,,
1771455600000,604.79,605.27,603.8,604.6,510.887,1771456499999,308774.81161,9294,,,
1771456500000,604.6,604.88,603.66,603.86,556.67,1771457399999,336360.04105,5396,,,
1771457400000,603.86,605.39,603.86,605.17,553.152,1771458299999,334582.84616,6448,,,
1771458300000,605.17,605.5,604.32,604.8,540.648,1771459199999,327041.74482,5939,,,
1771459200000,604.8,605.59,604.01,604.23,1027.729,1771460099999,621555.64785,9729,,,
1771460100000,604.22,605.28,603.37,603.94,937.504,1771460999999,566581.90687,7585,,,
1771461000000,603.93,605.09,603.18,604.99,794.705,1771461899999,480050.94632,5776,,,
1771461900000,604.98,605.16,602.84,602.85,671.002,1771462799999,405084.8014,6066,,,
1771462800000,602.84,606.46,602.84,605.58,1131.891,1771463699999,684457.28134,10446,,,
1771463700000,605.57,605.97,603.77,604.77,802.597,1771464599999,485492.1639,8337,,,
1771464600000,604.77,606.05,604.01,606.05,969.637,1771465499999,586912.78378,9156,,,
1771465500000,606.05,606.99,605.85,606.94,625.788,1771466399999,379453.63465,5738,,,
1771466400000,606.95,607.43,606.08,606.49,836.94,1771467299999,507752.57626,6566,,,
1771467300000,606.5,607.3,605.9,607.07,827.276,1771468199999,501698.63945,7594,,,
1771468200000,607.07,607.07,604.09,604.11,1056.415,1771469099999,639362.27969,8276,,,
1771469100000,604.1,606.48,604.06,606.2,2606.697,1771469999999,1577445.36986,6927,,,
1771470000000,606.21,606.74,604.77,605.47,566.064,1771470899999,342957.12582,4908,,,
1771470900000,605.46,607.86,605.46,607.86,620.452,1771471799999,376551.77553,4270,,,
1771471800000,607.86,607.97,607.0,607.28,485.391,1771472699999,294819.62086,5068,,,
1771472700000,607.28,608.15,606.97,607.86,428.791,1771473599999,260521.38483,4167,,,
1771473600000,607.87,609.41,607.55,609.4,1130.645,1771474499999,688234.58787,6269,,,
1771474500000,609.41,609.53,607.78,608.08,599.786,1771475399999,365056.40019,4827,,,
1771475400000,608.07,610.56,608.0,609.39,3087.215,1771476299999,1882413.34419,9645,,,
1771476300000,609.38,609.9,608.53,609.0,815.744,1771477199999,496850.42431,6150,,,
1771477200000,608.99,609.87,608.26,608.83,2137.521,1771478099999,1301584.51824,7728,,,
1771478100000,608.84,609.38,606.66,607.33,967.32,1771478999999,587925.45677,7287,,,
1771479000000,607.33,607.88,606.85,607.44,469.312,1771479899999,285104.63341,4824,,,
1771479900000,607.44,608.71,607.01,608.51,395.377,1771480799999,240410.38304,4466,,,
1771480800000,608.51,611.0,608.35,610.24,680.598,1771481699999,415145.03384,6898,,,
1771481700000,610.24,614.8,610.17,614.2,2110.519,1771482599999,1293707.06366,13486,,,
1771482600000,614.2,614.44,612.28,612.6,1092.843,1771483499999,670072.45937,12493,,,
1771483500000,612.61,613.7,612.6,613.48,441.827,1771484399999,270940.5645,6653,,,
1771484400000,613.48,614.0,612.0,612.3,813.726,1771485299999,498694.51544,7124,,,
1771485300000,612.3,613.01,611.82,612.12,621.838,1771486199999,380739.60413,6525,,,
1771486200000,612.12,612.77,610.6,611.31,753.653,1771487099999,460972.70137,6436,,,
1771487100000,611.3,611.3,610.33,610.78,629.227,1771487999999,384311.14654,4267,,,
1771488000000,610.78,610.9,608.44,608.62,1225.418,1771488899999,746741.56912,6632,,,
1771488900000,608.61,609.55,607.1,607.43,801.196,1771489799999,487418.26591,6857,,,
1771489800000,607.43,607.47,605.81,606.3,2429.077,1771490699999,1473225.68417,11025,,,
1771490700000,606.29,606.89,605.55,606.68,1199.18,1771491599999,727060.75485,7919,,,
1771491600000,606.68,607.26,604.83,606.19,1712.367,1771492499999,1037800.51723,13158,,,
1771492500000,606.19,608.49,605.81,608.41,1088.12,1771493399999,661142.38587,7144,,,
1771493400000,608.42,608.84,607.86,608.84,1988.476,1771494299999,1209693.33215,6622,,,
1771494300000,608.84,608.86,605.49,606.51,1359.22,1771495199999,824976.47178,9228,,,
1771495200000,606.51,607.75,605.53,607.11,2203.686,1771496099999,1336265.57745,11560,,,
1771496100000,607.1,607.77,606.85,607.05,749.68,1771496999999,455228.03826,6818,,,
1771497000000,607.05,607.99,606.56,607.38,587.566,1771497899999,356800.05453,6633,,,
1771497900000,607.38,607.39,605.56,606.22,671.39,1771498799999,407069.39989,7078,,,
1771498800000,606.22,606.89,605.71,606.6,547.565,1771499699999,331948.92605,4424,,,
1771499700000,606.59,607.11,605.88,605.89,599.281,1771500599999,363444.10803,5108,,,
1771500600000,605.88,606.46,603.93,604.41,1189.651,1771501499999,719465.13623,7310,,,
1771501500000,604.4,605.12,603.9,604.24,2232.128,1771502399999,1349249.09239,8566,,,
1771502400000,604.24,605.25,603.45,605.25,1183.308,1771503299999,715111.95195,13701,,,
1771503300000,605.24,605.92,604.64,605.91,434.952,1771504199999,263239.3287,6933,,,
1771504200000,605.91,606.49,605.1,605.69,573.559,1771505099999,347575.10459,6052,,,
1771505100000,605.69,605.99,605.07,605.66,566.773,1771505999999,343172.66436,7323,,,
1771506000000,605.67,606.21,602.8,605.15,1035.909,1771506899999,626096.39019,12414,,,
1771506900000,605.15,605.38,602.35,602.51,1001.659,1771507799999,604689.35456,9079,,,
1771507800000,602.5,603.54,598.02,598.66,5674.426,1771508699999,3407637.70775,23809,,,
1771508700000,598.65,599.6,596.0,598.54,4130.416,1771509599999,2469966.21607,25983,,,
1771509600000,598.53,601.56,598.53,601.0,1794.68,1771510499999,1076803.26033,13043,,,
1771510500000,601.0,601.72,599.1,600.43,2021.764,1771511399999,1214572.81131,12898,,,
1771511400000,600.44,602.4,597.65,602.1,3621.699,1771512299999,2173086.74038,32024,,,
1771512300000,602.1,604.15,600.36,602.17,1909.382,1771513199999,1150484.67469,18150,,,
1771513200000,602.19,604.9,598.78,599.12,1866.436,1771514099999,1124148.59185,14564,,,
1771514100000,599.12,601.86,598.0,598.51,1330.677,1771514999999,798164.52442,13395,,,
1771515000000,598.5,602.34,597.72,600.99,1957.914,1771515899999,1175103.31171,13393,,,
1771515900000,600.99,601.79,598.57,600.39,1504.994,1771516799999,903641.76601,10490,,,
1771516800000,600.4,600.4,596.07,598.76,1574.109,1771517699999,941461.01761,12385,,,
1771517700000,598.77,601.84,598.04,598.47,1462.726,1771518599999,877514.51479,11512,,,
1771518600000,598.47,601.64,598.47,600.6,2375.168,1771519499999,1425334.77585,12010,,,
1771519500000,600.6,601.35,598.83,600.01,965.714,1771520399999,579420.08008,7325,,,
1771520400000,600.01,602.28,599.39,601.95,901.688,1771521299999,541548.08121,8408,,,
1771521300000,601.95,604.93,601.01,601.97,1435.819,1771522199999,866067.54359,13260,,,
1771522200000,601.97,602.4,599.98,600.92,989.387,1771523099999,594646.76079,9172,,,
1771523100000,600.93,601.55,597.28,599.12,1063.413,1771523999999,637314.78591,8528,,,
1771524000000,599.11,602.88,598.65,602.72,983.529,1771524899999,590628.35821,7965,,,
1771524900000,602.72,604.89,601.26,604.39,893.688,1771525799999,539305.0424,11755,,,
1771525800000,604.39,605.88,603.36,605.75,1130.152,1771526699999,682885.67197,15233,,,
1771526700000,605.75,606.8,605.17,605.86,995.654,1771527599999,603371.14618,9838,,,
1771527600000,605.87,606.95,604.41,604.48,817.302,1771528499999,494802.82737,7950,,,
1771528500000,604.49,605.03,603.38,603.87,937.533,1771529399999,566516.12756,6900,,,
1771529400000,603.87,604.02,601.95,602.99,842.78,1771530299999,508228.62219,11626,,,
1771530300000,602.99,605.15,602.19,604.58,648.131,1771531199999,391272.80812,9253,,,
1771531200000,604.58,605.41,603.33,604.34,839.48,1771532099999,507298.27547,8475,,,
1771532100000,604.32,605.73,603.02,604.81,1129.075,1771532999999,682839.69983,5544,,,
1771533000000,604.81,605.7,604.32,605.46,376.417,1771533899999,227803.67418,4809,,,
1771533900000,605.45,607.91,605.45,607.29,929.197,1771534799999,564237.9051,6538,,,
1771534800000,607.27,607.69,606.76,606.96,631.574,1771535699999,383513.94684,4484,,,
1771535700000,606.95,608.65,606.71,608.39,544.407,1771536599999,330819.2586,4742,,,
1771536600000,608.39,609.24,607.84,608.31,959.788,1771537499999,584097.01413,5046,,,
1771537500000,608.32,608.77,607.46,607.9,497.64,1771538399999,302619.33407,3814,,,
1771538400000,607.9,607.95,606.16,607.51,919.931,1771539299999,558540.93566,6142,,,
1771539300000,607.5,607.5,606.11,606.25,291.875,1771540199999,177075.21148,3501,,,
1771540200000,606.25,606.25,605.08,605.92,394.437,1771541099999,238896.41464,3869,,,
1771541100000,605.93,606.93,605.38,606.6,249.845,1771541999999,151443.71203,3402,,,
1771542000000,606.59,607.4,605.81,606.23,341.366,1771542899999,207055.87739,4426,,,
1771542900000,606.24,607.5,606.24,607.39,269.585,1771543799999,163633.27466,2922,,,
1771543800000,607.39,607.69,606.82,607.34,222.846,1771544699999,135336.51128,4029,,,
1771544700000,607.34,608.02,607.08,607.83,411.528,1771545599999,250065.99983,4140,,,
1771545600000,607.82,608.52,607.12,608.52,487.264,1771546499999,296121.86525,5136,,,
1771546500000,608.52,610.53,608.33,610.08,1578.965,1771547399999,962245.68926,9737,,,
1771547400000,610.07,610.07,608.38,608.62,592.202,1771548299999,360676.54554,5204,,,
1771548300000,608.61,608.92,608.22,608.38,1182.537,1771549199999,719597.54921,5392,,,
1771549200000,608.38,608.78,608.06,608.54,578.806,1771550099999,352130.28636,5869,,,
1771550100000,608.53,608.61,606.58,607.22,1662.686,1771550999999,1010457.10706,7842,,,
1771551000000,607.23,608.8,607.07,608.51,827.259,1771551899999,502996.59735,6945,,,
1771551900000,608.51,608.51,606.82,607.5,3061.447,1771552799999,1860582.54778,8105,,,
1771552800000,607.52,608.38,606.92,607.23,651.463,1771553699999,395964.52586,5001,,,
1771553700000,607.22,607.42,606.16,606.33,804.342,1771554599999,488029.37685,5722,,,
1771554600000,606.34,607.57,606.33,607.52,599.995,1771555499999,364223.22023,5920,,,
1771555500000,607.52,607.83,606.72,606.73,927.938,1771556399999,563421.25697,4833,,,
1771556400000,606.72,607.23,606.23,607.06,678.326,1771557299999,411664.22925,5580,,,
1771557300000,607.05,608.57,606.55,608.3,1067.462,1771558199999,648184.22037,4942,,,
1771558200000,608.3,608.66,607.35,607.6,585.795,1771559099999,356297.83331,5213,,,
1771559100000,607.6,608.1,607.33,607.89,601.357,1771559999999,365444.00318,3811,,,
1771560000000,607.89,608.15,606.58,607.21,1657.911,1771560899999,1007114.89896,6562,,,
1771560900000,607.21,607.85,605.29,606.89,792.742,1771561799999,480810.71073,7053,,,
1771561800000,606.89,609.34,606.7,609.3,2299.34,1771562699999,1399230.88372,5534,,,
