open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
1765166400000,134.32000000,136.00000000,134.07000000,135.85000000,370405.37800000,1765180799999,50087267.18601000,202387,197506.04800000,26710052.58454000,0
1765180800000,135.85000000,139.36000000,135.65000000,138.37000000,542414.34500000,1765195199999,74826940.25260000,308298,276150.43000000,38084226.35399000,0
1765195200000,138.37000000,139.32000000,135.24000000,135.55000000,770614.77200000,1765209599999,105848660.94697000,490548,356050.81400000,48941045.80146000,0
1765209600000,135.54000000,136.54000000,133.02000000,133.67000000,655059.64100000,1765223999999,88445096.71587000,450168,306817.51400000,41440849.05952000,0
1765224000000,133.66000000,134.94000000,132.45000000,133.25000000,548610.65100000,1765238399999,73358567.91282000,295917,336180.75200000,44942469.80134000,0
1765238400000,133.24000000,134.42000000,132.47000000,134.18000000,370817.47500000,1765252799999,49385651.80089000,228000,196518.92100000,26181411.41851000,0
1765252800000,134.18000000,134.26000000,131.77000000,133.20000000,383953.54700000,1765267199999,50931068.12822000,184753,173927.44200000,23074774.81785000,0
1765267200000,133.21000000,133.42000000,132.01000000,132.95000000,213047.58100000,1765281599999,28268899.35658000,142637,89086.28900000,11821070.51147000,0
1765281600000,132.95000000,138.50000000,131.62000000,138.45000000,889986.69100000,1765295999999,119964831.96491000,482990,453575.05200000,61128888.33147000,0
1765296000000,138.46000000,144.93000000,138.45000000,142.10000000,1856643.01700000,1765310399999,264459700.84778000,936613,919021.63200000,130822299.17952000,0
1765310400000,142.11000000,142.34000000,136.71000000,137.88000000,794073.72300000,1765324799999,110523538.69042000,447606,379631.40700000,52851259.27433000,0
1765324800000,137.87000000,138.61000000,137.19000000,138.15000000,660905.38400000,1765339199999,91087688.40632000,252744,331550.32900000,45696459.28489000,0
1765339200000,138.15000000,140.22000000,138.05000000,139.20000000,371289.47300000,1765353599999,51644897.73212000,198193,200395.59500000,27877273.39466000,0
1765353600000,139.20000000,139.88000000,136.33000000,137.24000000,512812.66700000,1765367999999,70764410.22075000,288819,268626.49500000,37097823.00703000,0
1765368000000,137.23000000,138.16000000,135.71000000,136.17000000,485961.30200000,1765382399999,66591519.66308000,330345,241011.97000000,33041910.13028000,0
1765382400000,136.16000000,139.64000000,135.73000000,138.67000000,1261516.67700000,1765396799999,173647924.52418000,831200,625747.75100000,86133611.10653000,0
1765396800000,138.67000000,142.57000000,135.39000000,136.26000000,1227744.77300000,1765411199999,170809565.48079000,716043,620315.08600000,86371712.06171000,0
1765411200000,136.26000000,136.43000000,129.00000000,129.39000000,1248018.99000000,1765425599999,164594488.24366000,601889,563241.63100000,74283634.13896000,0
1765425600000,129.39000000,131.52000000,129.04000000,131.03000000,542883.63600000,1765439999999,70919227.39204000,302668,277652.98700000,36272743.59558000,0
1765440000000,131.03000000,131.41000000,130.15000000,130.93000000,321975.14900000,1765454399999,42146018.22993000,172203,146368.65500000,19160781.60317000,0
1765454400000,130.93000000,132.82000000,129.84000000,131.18000000,566748.18100000,1765468799999,74357944.73474000,395429,275475.11800000,36164047.67358000,0
1765468800000,131.17000000,135.58000000,130.12000000,133.91000000,856553.78000000,1765483199999,114400332.38936000,441095,407262.39600000,54385611.34565000,0
1765483200000,133.90000000,137.79000000,133.82000000,136.41000000,841517.30000000,1765497599999,114844357.20552000,440058,391904.65900000,53482567.94101000,0
1765497600000,136.41000000,137.95000000,135.35000000,137.08000000,459234.10500000,1765511999999,62832505.87962000,281437,260500.00100000,35638900.97637000,0
1765512000000,137.08000000,140.12000000,136.52000000,139.09000000,578561.57400000,1765526399999,80158111.60739000,272724,333579.90700000,46196906.53048000,0
1765526400000,139.09000000,139.15000000,137.19000000,138.71000000,429778.28400000,1765540799999,59349433.92595000,220603,194301.01400000,26844919.79052000,0
1765540800000,138.72000000,139.86000000,132.85000000,133.49000000,1072554.74900000,1765555199999,146731220.77427000,545214,509849.25200000,69791616.50038000,0
1765555200000,133.48000000,133.95000000,130.35000000,131.27000000,1096274.01300000,1765569599999,145077796.84896000,672185,528539.33300000,69980560.63195000,0
1765569600000,131.27000000,133.07000000,131.00000000,132.27000000,369205.53700000,1765583999999,48765497.15321000,207936,183562.05800000,24238885.73853000,0
1765584000000,132.28000000,133.00000000,132.28000000,132.88000000,226995.39100000,1765598399999,30116899.82233000,96843,91953.51100000,12201312.90606000,0
1765598400000,132.88000000,133.02000000,132.33000000,132.93000000,148161.67600000,1765612799999,19664626.40781000,62473,72782.41200000,9663929.24101000,0
1765612800000,132.94000000,134.28000000,132.93000000,133.32000000,341456.62600000,1765627199999,45664393.05024000,143471,143496.93900000,19187886.63204000,0
1765627200000,133.31000000,133.68000000,132.61000000,133.31000000,230235.88200000,1765641599999,30657996.60766000,135661,95195.89500000,12677284.23365000,0
1765641600000,133.30000000,133.82000000,132.11000000,132.72000000,306223.43200000,1765655999999,40598718.87241000,126530,195980.72800000,25975091.28091000,0
1765656000000,132.73000000,133.27000000,131.60000000,133.14000000,219410.72800000,1765670399999,29087930.14743000,102067,94637.63300000,12538086.48195000,0
1765670400000,133.13000000,133.66000000,132.71000000,132.95000000,180565.01300000,1765684799999,24056794.31573000,83185,85471.16300000,11384117.90291000,0
1765684800000,132.95000000,133.39000000,132.08000000,133.29000000,166985.07200000,1765699199999,22142024.20561000,72302,97069.89400000,12866928.81073000,0
1765699200000,133.28000000,133.50000000,130.14000000,131.47000000,483157.35000000,1765713599999,63704156.82015000,213874,207869.29000000,27403343.73148000,0
1765713600000,131.46000000,131.90000000,130.33000000,130.67000000,237483.44000000,1765727999999,31148450.84376000,183517,109511.30500000,14367786.56034000,0
