timestamp,longAccount,shortAccount,longShortRatio,symbol
1771592400000,0.7243,0.2757,2.6271,BNBUSDT
1771596000000,0.7295,0.2705,2.6969,BNBUSDT
1771599600000,0.7273,0.2727,2.6670,BNBUSDT
1771603200000,0.7263,0.2737,2.6536,BNBUSDT
1771606800000,0.7180,0.2820,2.5461,BNBUSDT
1771610400000,0.7167,0.2833,2.5298,BNBUSDT
1771614000000,0.7133,0.2867,2.4880,BNBUSDT
1771617600000,0.7096,0.2904,2.4435,BNBUSDT
1771621200000,0.7082,0.2918,2.4270,BNBUSDT
1771624800000,0.7063,0.2937,2.4048,BNBUSDT
1771628400000,0.7042,0.2958,2.3807,BNBUSDT
1771632000000,0.7013,0.2987,2.3478,BNBUSDT
1771635600000,0.6965,0.3035,2.2949,BNBUSDT
1771639200000,0.6953,0.3047,2.2819,BNBUSDT
1771642800000,0.6947,0.3053,2.2755,BNBUSDT
1771646400000,0.6944,0.3056,2.2723,BNBUSDT
1771650000000,0.6941,0.3059,2.2690,BNBUSDT
1771653600000,0.6935,0.3065,2.2626,BNBUSDT
1771657200000,0.6913,0.3087,2.2394,BNBUSDT
1771660800000,0.6922,0.3078,2.2489,BNBUSDT
1771664400000,0.6930,0.3070,2.2573,BNBUSDT
1771668000000,0.6939,0.3061,2.2669,BNBUSDT
1771671600000,0.6938,0.3062,2.2658,BNBUSDT
1771675200000,0.6954,0.3046,2.2830,BNBUSDT
1771678800000,0.6920,0.3080,2.2468,BNBUSDT
1771682400000,0.6941,0.3059,2.2690,BNBUSDT
1771686000000,0.6942,0.3058,2.2701,BNBUSDT
1771689600000,0.6972,0.3028,2.3025,BNBUSDT
1771693200000,0.7011,0.2989,2.3456,BNBUSDT
1771696800000,0.7010,0.2990,2.3445,BNBUSDT
1771700400000,0.7017,0.2983,2.3523,BNBUSDT
1771704000000,0.6986,0.3014,2.3179,BNBUSDT
1771707600000,0.6970,0.3030,2.3003,BNBUSDT
1771711200000,0.6981,0.3019,2.3124,BNBUSDT
1771714800000,0.6977,0.3023,2.3080,BNBUSDT
1771718400000,0.6885,0.3115,2.2103,BNBUSDT
1771722000000,0.6867,0.3133,2.1918,BNBUSDT
1771725600000,0.6873,0.3127,2.1980,BNBUSDT
1771729200000,0.6884,0.3116,2.2092,BNBUSDT
1771732800000,0.6891,0.3109,2.2165,BNBUSDT
1771736400000,0.6909,0.3091,2.2352,BNBUSDT
1771740000000,0.6895,0.3105,2.2206,BNBUSDT
1771743600000,0.6947,0.3053,2.2755,BNBUSDT
1771747200000,0.6954,0.3046,2.2830,BNBUSDT
1771750800000,0.6933,0.3067,2.2605,BNBUSDT
1771754400000,0.6957,0.3043,2.2862,BNBUSDT
1771758000000,0.6959,0.3041,2.2884,BNBUSDT
1771761600000,0.6964,0.3036,2.2938,BNBUSDT
1771765200000,0.6962,0.3038,2.2916,BNBUSDT
1771768800000,0.7080,0.2920,2.4247,BNBUSDT
1771772400000,0.7111,0.2889,2.4614,BNBUSDT
1771776000000,0.7184,0.2816,2.5511,BNBUSDT
1771779600000,0.7190,0.2810,2.5587,BNBUSDT
1771783200000,0.7205,0.2795,2.5778,BNBUSDT
1771786800000,0.7224,0.2776,2.6023,BNBUSDT
1771790400000,0.7235,0.2765,2.6166,BNBUSDT
1771794000000,0.7244,0.2756,2.6284,BNBUSDT
1771797600000,0.7246,0.2754,2.6311,BNBUSDT
1771801200000,0.7272,0.2728,2.6657,BNBUSDT
1771804800000,0.7278,0.2722,2.6738,BNBUSDT
1771808400000,0.7296,0.2704,2.6982,BNBUSDT
1771812000000,0.7381,0.2619,2.8183,BNBUSDT
1771815600000,0.7435,0.2565,2.8986,BNBUSDT
1771819200000,0.7468,0.2532,2.9494,BNBUSDT
1771822800000,0.7463,0.2537,2.9417,BNBUSDT
1771826400000,0.7465,0.2535,2.9448,BNBUSDT
1771830000000,0.7510,0.2490,3.0161,BNBUSDT
1771833600000,0.7486,0.2514,2.9777,BNBUSDT
1771837200000,0.7445,0.2555,2.9139,BNBUSDT
1771840800000,0.7413,0.2587,2.8655,BNBUSDT
1771844400000,0.7367,0.2633,2.7979,BNBUSDT
1771848000000,0.7355,0.2645,2.7807,BNBUSDT
1771851600000,0.7300,0.2700,2.7037,BNBUSDT
1771855200000,0.7280,0.2720,2.6765,BNBUSDT
1771858800000,0.7210,0.2790,2.5842,BNBUSDT
1771862400000,0.7180,0.2820,2.5461,BNBUSDT
1771866000000,0.7153,0.2847,2.5125,BNBUSDT
1771869600000,0.7206,0.2794,2.5791,BNBUSDT
1771873200000,0.7220,0.2780,2.5971,BNBUSDT
1771876800000,0.7251,0.2749,2.6377,BNBUSDT
1771880400000,0.7236,0.2764,2.6179,BNBUSDT
1771884000000,0.7236,0.2764,2.6179,BNBUSDT
1771887600000,0.7256,0.2744,2.6443,BNBUSDT
1771891200000,0.7234,0.2766,2.6153,BNBUSDT
1771894800000,0.7256,0.2744,2.6443,BNBUSDT
1771898400000,0.7257,0.2743,2.6456,BNBUSDT
1771902000000,0.7283,0.2717,2.6805,BNBUSDT
