timestamp,buyVol,sellVol,buySellRatio,symbol
1771588800000,8436.6900,7082.2900,1.1912,BNBUSDT
1771592400000,28721.8000,29649.5400,0.9687,BNBUSDT
1771596000000,20309.1300,20221.7300,1.0043,BNBUSDT
1771599600000,46050.0700,42019.1500,1.0959,BNBUSDT
1771603200000,28648.4600,23837.8900,1.2018,BNBUSDT
1771606800000,29681.5700,28555.6800,1.0394,BNBUSDT
1771610400000,25553.7500,22050.4200,1.1589,BNBUSDT
1771614000000,10496.0600,11147.7400,0.9415,BNBUSDT
1771617600000,13196.7400,13214.4900,0.9987,BNBUSDT
1771621200000,7071.4300,8682.3900,0.8145,BNBUSDT
1771624800000,7595.8000,9066.2100,0.8378,BNBUSDT
1771628400000,5275.7600,7397.0200,0.7132,BNBUSDT
1771632000000,8036.2400,11795.3200,0.6813,BNBUSDT
1771635600000,11081.6900,8673.8400,1.2776,BNBUSDT
1771639200000,7486.9900,7397.5400,1.0121,BNBUSDT
1771642800000,5176.2400,7484.3300,0.6916,BNBUSDT
1771646400000,4078.5800,3259.5000,1.2513,BNBUSDT
1771650000000,3426.5300,4317.7000,0.7936,BNBUSDT
1771653600000,3481.6300,4483.8900,0.7765,BNBUSDT
1771657200000,12696.8800,12712.0500,0.9988,BNBUSDT
1771660800000,8294.3600,4399.5000,1.8853,BNBUSDT
1771664400000,19831.1200,12264.5900,1.6169,BNBUSDT
1771668000000,4960.6100,4238.8100,1.1703,BNBUSDT
1771671600000,7973.2700,8688.9100,0.9176,BNBUSDT
1771675200000,6914.9200,10237.7900,0.6754,BNBUSDT
1771678800000,11000.7800,8338.4800,1.3193,BNBUSDT
1771682400000,15647.1100,15804.2200,0.9901,BNBUSDT
1771686000000,15523.9100,19987.2100,0.7767,BNBUSDT
1771689600000,19382.6500,20076.1200,0.9655,BNBUSDT
1771693200000,6332.4200,5530.6200,1.1450,BNBUSDT
1771696800000,8103.0000,6568.4400,1.2336,BNBUSDT
1771700400000,4154.9400,4614.1800,0.9005,BNBUSDT
1771704000000,4149.5800,6558.4300,0.6327,BNBUSDT
1771707600000,4845.9400,3991.5000,1.2141,BNBUSDT
1771711200000,3148.3800,4027.3300,0.7818,BNBUSDT
1771714800000,7576.2200,11320.4500,0.6693,BNBUSDT
1771718400000,8114.3200,10350.5900,0.7839,BNBUSDT
1771722000000,5788.9800,4363.2900,1.3267,BNBUSDT
1771725600000,4844.4800,6809.4900,0.7114,BNBUSDT
1771729200000,11089.6100,12709.0000,0.8726,BNBUSDT
1771732800000,5351.0100,7215.3000,0.7416,BNBUSDT
1771736400000,7012.8400,9021.2100,0.7774,BNBUSDT
1771740000000,9381.9800,5209.7300,1.8009,BNBUSDT
1771743600000,11900.9500,7984.4400,1.4905,BNBUSDT
1771747200000,4710.6500,5529.6800,0.8519,BNBUSDT
1771750800000,5316.2600,4749.2100,1.1194,BNBUSDT
1771754400000,3698.6700,5346.7900,0.6918,BNBUSDT
1771758000000,4571.4400,5370.7500,0.8512,BNBUSDT
1771761600000,6055.8700,10745.7200,0.5636,BNBUSDT
1771765200000,20020.6300,16540.5600,1.2104,BNBUSDT
1771768800000,11359.2100,11607.4500,0.9786,BNBUSDT
1771772400000,17528.8200,18076.8300,0.9697,BNBUSDT
1771776000000,12050.7900,11579.9000,1.0407,BNBUSDT
1771779600000,10978.8500,13442.0800,0.8168,BNBUSDT
1771783200000,7967.3100,7664.6000,1.0395,BNBUSDT
1771786800000,4999.3200,2537.7200,1.9700,BNBUSDT
1771790400000,4427.2000,4146.4100,1.0677,BNBUSDT
1771794000000,6179.1200,2550.0600,2.4231,BNBUSDT
1771797600000,8390.4200,6384.2400,1.3142,BNBUSDT
1771801200000,6278.6900,7602.6400,0.8259,BNBUSDT
1771804800000,16069.0400,23748.6300,0.6766,BNBUSDT
1771808400000,100601.7300,128395.4600,0.7835,BNBUSDT
1771812000000,27442.8300,26853.6900,1.0219,BNBUSDT
1771815600000,23208.9400,16129.5700,1.4389,BNBUSDT
1771819200000,11455.9600,13737.2200,0.8339,BNBUSDT
1771822800000,25754.2100,21186.5300,1.2156,BNBUSDT
1771826400000,23275.0900,18415.1200,1.2639,BNBUSDT
1771830000000,11569.5200,14427.5800,0.8019,BNBUSDT
1771833600000,11895.5800,14737.7300,0.8072,BNBUSDT
1771837200000,40914.8600,30117.9300,1.3585,BNBUSDT
1771840800000,14889.6100,16065.0500,0.9268,BNBUSDT
1771844400000,9048.8300,11637.2000,0.7776,BNBUSDT
1771848000000,21756.6000,19840.0000,1.0966,BNBUSDT
1771851600000,13338.7800,17137.4300,0.7783,BNBUSDT
1771855200000,17457.8000,22765.8000,0.7668,BNBUSDT
1771858800000,19215.5000,23206.6400,0.8280,BNBUSDT
1771862400000,20381.9800,27532.7800,0.7403,BNBUSDT
1771866000000,29950.9600,38645.5900,0.7750,BNBUSDT
1771869600000,19129.5700,19322.4900,0.9900,BNBUSDT
1771873200000,16786.2700,21555.5200,0.7787,BNBUSDT
1771876800000,17779.4400,22320.3700,0.7966,BNBUSDT
1771880400000,10888.6700,8648.0200,1.2591,BNBUSDT
1771884000000,9099.0100,8867.6300,1.0261,BNBUSDT
1771887600000,7469.3900,14137.8800,0.5283,BNBUSDT
1771891200000,24599.5600,13163.3600,1.8688,BNBUSDT
1771894800000,46628.0800,53686.7600,0.8685,BNBUSDT
1771898400000,12595.3400,12295.8600,1.0244,BNBUSDT
1771902000000,19792.9500,24084.5200,0.8218,BNBUSDT
1771905600000,19497.6500,20062.5100,0.9718,BNBUSDT
1771909200000,22998.6800,19658.3800,1.1699,BNBUSDT
1771912800000,12883.4000,18698.3600,0.6890,BNBUSDT
1771916400000,13600.6100,12455.9600,1.0919,BNBUSDT
1771920000000,11673.1700,10659.6100,1.0951,BNBUSDT
1771923600000,10271.6500,12359.0800,0.8311,BNBUSDT
1771927200000,7619.1800,7526.9300,1.0123,BNBUSDT
1771930800000,8830.6500,10162.3600,0.8690,BNBUSDT
1771934400000,10364.4200,11718.2100,0.8845,BNBUSDT
