fundingTime,fundingRate,markPrice,symbol
1769097600005,0.00009419,88978.66202899,BTCUSDT
1769126400005,0.00005090,89518.50000000,BTCUSDT
1769155200000,0.00003390,89509.13183333,BTCUSDT
1769184000011,0.00006968,89713.00000000,BTCUSDT
1769212800011,0.00001531,89558.70000000,BTCUSDT
1769241600002,0.00008909,89583.14050000,BTCUSDT
1769270400001,0.00003901,89237.32462519,BTCUSDT
1769299200002,0.00001336,89181.09492029,BTCUSDT
1769328000011,0.00008051,88630.90404348,BTCUSDT
1769356800005,0.00004917,88406.00000000,BTCUSDT
1769385600000,0.00004067,86629.00000000,BTCUSDT
1769414400003,0.00002847,87969.00000000,BTCUSDT
1769443200000,0.00005606,87609.50000000,BTCUSDT
1769472000002,0.00004267,88301.36701449,BTCUSDT
1769500800000,0.00006028,88290.49133841,BTCUSDT
1769529600000,0.00007503,88009.15772864,BTCUSDT
1769558400000,0.00006237,89203.89821739,BTCUSDT
1769587200000,0.00006174,89106.90000000,BTCUSDT
1769616000000,0.00003830,89446.72848576,BTCUSDT
1769644800000,0.00007210,89262.92891304,BTCUSDT
1769673600009,0.00005856,88310.90000000,BTCUSDT
1769702400000,0.00004023,84898.27826087,BTCUSDT
1769731200008,0.00004478,84617.11086232,BTCUSDT
1769760000000,0.00001714,82778.82526087,BTCUSDT
1769788800001,0.00000310,82853.51839855,BTCUSDT
1769817600000,0.00009693,84213.96525362,BTCUSDT
1769846400001,0.00003548,83514.40000000,BTCUSDT
1769875200009,0.00006585,81275.68205797,BTCUSDT
1769904000001,-0.00003267,78701.59597101,BTCUSDT
1769932800004,0.00003421,78320.90000000,BTCUSDT
1769961600000,0.00001722,77563.80000000,BTCUSDT
1769990400000,0.00000068,76931.60000000,BTCUSDT
1770019200014,-0.00003043,76609.90000000,BTCUSDT
1770048000000,-0.00005713,78800.60000000,BTCUSDT
1770076800000,-0.00002203,78698.62801349,BTCUSDT
1770105600007,0.00002245,78745.60000000,BTCUSDT
1770134400000,-0.00000465,78099.52176087,BTCUSDT
1770163200002,0.00000119,75732.40000000,BTCUSDT
1770192000007,0.00003551,76478.90000000,BTCUSDT
1770220800000,0.00004618,74101.90000000,BTCUSDT
1770249600011,0.00009173,73153.90000000,BTCUSDT
1770278400000,0.00000298,70710.74360570,BTCUSDT
1770307200007,-0.00004957,67455.49563043,BTCUSDT
1770336000000,-0.00001597,62887.14150000,BTCUSDT
1770364800001,-0.00013688,64791.40000000,BTCUSDT
1770393600000,-0.00013478,68574.00000000,BTCUSDT
1770422400003,-0.00015178,70544.40000000,BTCUSDT
1770451200000,-0.00008326,68067.00000000,BTCUSDT
1770480000010,-0.00002907,69122.10000000,BTCUSDT
1770508800003,-0.00003403,69254.20000000,BTCUSDT
1770537600000,-0.00003546,69667.50000000,BTCUSDT
1770566400000,-0.00004864,71152.60000000,BTCUSDT
1770595200002,-0.00003075,70304.73338406,BTCUSDT
1770624000001,0.00001846,70393.40000000,BTCUSDT
1770652800007,-0.00004284,69538.50000000,BTCUSDT
1770681600000,-0.00008798,70110.60000000,BTCUSDT
1770710400007,-0.00004829,68882.10000000,BTCUSDT
1770739200000,-0.00008816,69252.90000000,BTCUSDT
1770768000000,0.00001400,68805.30000000,BTCUSDT
1770796800006,-0.00008417,67000.00000000,BTCUSDT
1770825600000,-0.00001169,66489.40000000,BTCUSDT
1770854400000,-0.00001381,67072.20000000,BTCUSDT
1770883200001,0.00003499,67200.19716739,BTCUSDT
1770912000001,-0.00001728,67103.70000000,BTCUSDT
1770940800007,0.00005834,66243.20000000,BTCUSDT
1770969600003,0.00000716,66184.59749275,BTCUSDT
1770998400005,-0.00001274,68652.40000000,BTCUSDT
1771027200002,0.00001291,68853.38406522,BTCUSDT
1771056000004,0.00003174,69182.52364493,BTCUSDT
1771084800002,-0.00003094,69754.10000000,BTCUSDT
1771113600000,-0.00001068,69795.40000000,BTCUSDT
1771142400002,0.00004664,70784.00000000,BTCUSDT
1771171200000,-0.00002371,69068.10000000,BTCUSDT
1771200000001,0.00002659,68798.30000000,BTCUSDT
