timestamp,longAccount,shortAccount,longShortRatio,symbol
1771592400000,0.6739,0.3261,2.0665,BTCUSDT
1771596000000,0.6850,0.3150,2.1746,BTCUSDT
1771599600000,0.6881,0.3119,2.2062,BTCUSDT
1771603200000,0.6931,0.3069,2.2584,BTCUSDT
1771606800000,0.6917,0.3083,2.2436,BTCUSDT
1771610400000,0.6924,0.3076,2.2510,BTCUSDT
1771614000000,0.6810,0.3190,2.1348,BTCUSDT
1771617600000,0.6807,0.3193,2.1319,BTCUSDT
1771621200000,0.6812,0.3188,2.1368,BTCUSDT
1771624800000,0.6802,0.3198,2.1270,BTCUSDT
1771628400000,0.6745,0.3255,2.0722,BTCUSDT
1771632000000,0.6680,0.3320,2.0120,BTCUSDT
1771635600000,0.6623,0.3377,1.9612,BTCUSDT
1771639200000,0.6619,0.3381,1.9577,BTCUSDT
1771642800000,0.6599,0.3401,1.9403,BTCUSDT
1771646400000,0.6645,0.3355,1.9806,BTCUSDT
1771650000000,0.6640,0.3360,1.9762,BTCUSDT
1771653600000,0.6624,0.3376,1.9621,BTCUSDT
1771657200000,0.6587,0.3413,1.9300,BTCUSDT
1771660800000,0.6583,0.3417,1.9265,BTCUSDT
1771664400000,0.6550,0.3450,1.8986,BTCUSDT
1771668000000,0.6443,0.3557,1.8114,BTCUSDT
1771671600000,0.6406,0.3594,1.7824,BTCUSDT
1771675200000,0.6362,0.3638,1.7488,BTCUSDT
1771678800000,0.6392,0.3608,1.7716,BTCUSDT
1771682400000,0.6365,0.3635,1.7510,BTCUSDT
1771686000000,0.6431,0.3569,1.8019,BTCUSDT
1771689600000,0.6406,0.3594,1.7824,BTCUSDT
1771693200000,0.6427,0.3573,1.7988,BTCUSDT
1771696800000,0.6412,0.3588,1.7871,BTCUSDT
1771700400000,0.6401,0.3599,1.7785,BTCUSDT
1771704000000,0.6369,0.3631,1.7541,BTCUSDT
1771707600000,0.6365,0.3635,1.7510,BTCUSDT
1771711200000,0.6376,0.3624,1.7594,BTCUSDT
1771714800000,0.6387,0.3613,1.7678,BTCUSDT
1771718400000,0.6381,0.3619,1.7632,BTCUSDT
1771722000000,0.6385,0.3615,1.7663,BTCUSDT
1771725600000,0.6390,0.3610,1.7701,BTCUSDT
1771729200000,0.6390,0.3610,1.7701,BTCUSDT
1771732800000,0.6404,0.3596,1.7809,BTCUSDT
1771736400000,0.6398,0.3602,1.7762,BTCUSDT
1771740000000,0.6399,0.3601,1.7770,BTCUSDT
1771743600000,0.6403,0.3597,1.7801,BTCUSDT
1771747200000,0.6416,0.3584,1.7902,BTCUSDT
1771750800000,0.6412,0.3588,1.7871,BTCUSDT
1771754400000,0.6413,0.3587,1.7878,BTCUSDT
1771758000000,0.6415,0.3585,1.7894,BTCUSDT
1771761600000,0.6396,0.3604,1.7747,BTCUSDT
1771765200000,0.6391,0.3609,1.7709,BTCUSDT
1771768800000,0.6447,0.3553,1.8145,BTCUSDT
1771772400000,0.6528,0.3472,1.8802,BTCUSDT
1771776000000,0.6532,0.3468,1.8835,BTCUSDT
1771779600000,0.6535,0.3465,1.8860,BTCUSDT
1771783200000,0.6554,0.3446,1.9019,BTCUSDT
1771786800000,0.6563,0.3437,1.9095,BTCUSDT
1771790400000,0.6564,0.3436,1.9104,BTCUSDT
1771794000000,0.6579,0.3421,1.9231,BTCUSDT
1771797600000,0.6604,0.3396,1.9446,BTCUSDT
1771801200000,0.6613,0.3387,1.9525,BTCUSDT
1771804800000,0.6589,0.3411,1.9317,BTCUSDT
1771808400000,0.6670,0.3330,2.0030,BTCUSDT
1771812000000,0.7058,0.2942,2.3990,BTCUSDT
