timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1771592400000,81262.77200000,5485804105.09256800,BTCUSDT
1771596000000,79877.73000000,5334610234.73100000,BTCUSDT
1771599600000,80500.06100000,5396440073.55791900,BTCUSDT
1771603200000,81286.82300000,5490567231.62880000,BTCUSDT
1771606800000,81132.92900000,5498314863.36617900,BTCUSDT
1771610400000,79934.73200000,5402141064.55080000,BTCUSDT
1771614000000,80206.18800000,5446132775.67056500,BTCUSDT
1771617600000,80127.43600000,5417944789.03760000,BTCUSDT
1771621200000,79892.54500000,5410235265.60050000,BTCUSDT
1771624800000,79793.28400000,5409370246.91320000,BTCUSDT
1771628400000,79897.90100000,5437255216.61747000,BTCUSDT
1771632000000,80199.65700000,5452680747.03495700,BTCUSDT
1771635600000,80487.28700000,5457592415.95547300,BTCUSDT
1771639200000,80465.58500000,5464908717.41850000,BTCUSDT
1771642800000,80642.19400000,5481396034.64173200,BTCUSDT
1771646400000,79323.14000000,5365171287.86600000,BTCUSDT
1771650000000,79048.90900000,5358196837.37575800,BTCUSDT
1771653600000,79048.34300000,5361627770.32960000,BTCUSDT
1771657200000,79094.11300000,5359395989.95709200,BTCUSDT
1771660800000,79052.24600000,5361402375.96600000,BTCUSDT
1771664400000,79574.79000000,5412430533.95100000,BTCUSDT
1771668000000,80748.26900000,5500224866.72330000,BTCUSDT
1771671600000,80920.33800000,5517367129.75260000,BTCUSDT
1771675200000,81053.81200000,5516609196.61498400,BTCUSDT
1771678800000,80747.31500000,5505177686.33509400,BTCUSDT
1771682400000,80793.51500000,5512314957.67373600,BTCUSDT
1771686000000,81262.09500000,5559760344.44631000,BTCUSDT
1771689600000,81591.31600000,5596341616.01083100,BTCUSDT
1771693200000,81525.58200000,5567147108.35381600,BTCUSDT
1771696800000,81772.55700000,5593635407.07360000,BTCUSDT
1771700400000,81810.86900000,5607914180.60370000,BTCUSDT
1771704000000,81865.70800000,5608857065.63320000,BTCUSDT
1771707600000,81540.06900000,5559690815.06510100,BTCUSDT
1771711200000,81459.73000000,5567881066.97830800,BTCUSDT
1771714800000,80954.43600000,5501603513.24125500,BTCUSDT
1771718400000,80844.24600000,5494674778.29701600,BTCUSDT
1771722000000,80532.64500000,5469132987.24000000,BTCUSDT
1771725600000,80761.17000000,5500748795.76522800,BTCUSDT
1771729200000,80593.15500000,5470116936.88921000,BTCUSDT
1771732800000,80432.25500000,5470105421.32462200,BTCUSDT
1771736400000,80578.56800000,5475329811.31360000,BTCUSDT
1771740000000,80622.06200000,5478057380.67054500,BTCUSDT
1771743600000,80038.99300000,5443155769.65590000,BTCUSDT
1771747200000,80071.68900000,5442831559.43051800,BTCUSDT
1771750800000,79828.14500000,5423061168.05900000,BTCUSDT
1771754400000,79602.72500000,5414801100.45513800,BTCUSDT
1771758000000,79692.86200000,5426812946.46920000,BTCUSDT
1771761600000,79955.51800000,5451658733.32039500,BTCUSDT
1771765200000,79731.70400000,5414675046.69839500,BTCUSDT
1771768800000,79292.11200000,5362113215.57760000,BTCUSDT
1771772400000,79781.91400000,5379159523.86504800,BTCUSDT
1771776000000,79709.69500000,5393149992.73050000,BTCUSDT
1771779600000,79552.40700000,5377877952.29190000,BTCUSDT
1771783200000,79290.91300000,5341432354.24500000,BTCUSDT
1771786800000,79369.22800000,5350115594.08365500,BTCUSDT
1771790400000,79411.21500000,5352490595.67300000,BTCUSDT
1771794000000,79292.78100000,5341867433.91090000,BTCUSDT
1771797600000,79065.68000000,5342962652.26050000,BTCUSDT
1771801200000,78935.13300000,5338477766.94960000,BTCUSDT
1771804800000,78625.70500000,5316159105.01750000,BTCUSDT
1771808400000,78220.00700000,5217720320.93990000,BTCUSDT
1771812000000,79310.28600000,5106678281.13960000,BTCUSDT
1771815600000,80502.75600000,5212068355.39257800,BTCUSDT
1771819200000,80806.84100000,5243893345.46230800,BTCUSDT
1771822800000,81138.38300000,5255917263.26760000,BTCUSDT
1771826400000,80948.04100000,5264450104.98958400,BTCUSDT
1771830000000,80037.83400000,5260254529.93140000,BTCUSDT
1771833600000,79487.87500000,5239506870.92500000,BTCUSDT
1771837200000,79328.80400000,5207447954.09753400,BTCUSDT
1771840800000,78426.98900000,5205583552.17610000,BTCUSDT
1771844400000,78324.67900000,5192166468.31370000,BTCUSDT
1771848000000,78461.72900000,5192102161.84402200,BTCUSDT
1771851600000,78093.96400000,5173717305.60360000,BTCUSDT
1771855200000,77494.95400000,5122436290.32385500,BTCUSDT
1771858800000,78820.30700000,5193990242.25620000,BTCUSDT
1771862400000,79414.37400000,5213068449.11450500,BTCUSDT
1771866000000,79122.29200000,5169534070.11200000,BTCUSDT
1771869600000,78701.84000000,5097840854.34400000,BTCUSDT
