timestamp,buyVol,sellVol,buySellRatio,symbol
1771588800000,3645.3670,3801.3960,0.9590,BTCUSDT
1771592400000,13346.7250,14086.6210,0.9475,BTCUSDT
1771596000000,7924.4030,7885.1960,1.0050,BTCUSDT
1771599600000,19487.3120,19205.5270,1.0147,BTCUSDT
1771603200000,6915.1120,6953.3160,0.9945,BTCUSDT
1771606800000,12693.1610,10823.4480,1.1727,BTCUSDT
1771610400000,6353.5820,5570.9830,1.1405,BTCUSDT
1771614000000,2259.2900,2774.6370,0.8143,BTCUSDT
1771617600000,1645.4050,1741.4890,0.9448,BTCUSDT
1771621200000,1951.4310,1248.6710,1.5628,BTCUSDT
1771624800000,2621.8090,2012.9080,1.3025,BTCUSDT
1771628400000,2043.7490,2237.4630,0.9134,BTCUSDT
1771632000000,1711.0380,1742.1650,0.9821,BTCUSDT
1771635600000,937.6950,786.1900,1.1927,BTCUSDT
1771639200000,1076.6100,910.4990,1.1824,BTCUSDT
1771642800000,2337.9120,4109.6520,0.5689,BTCUSDT
1771646400000,1377.6070,1382.8150,0.9962,BTCUSDT
1771650000000,751.5970,823.7440,0.9124,BTCUSDT
1771653600000,666.8090,849.8340,0.7846,BTCUSDT
1771657200000,576.3470,503.0380,1.1457,BTCUSDT
1771660800000,1648.4510,1113.6110,1.4803,BTCUSDT
1771664400000,4129.5910,3389.7830,1.2182,BTCUSDT
1771668000000,1135.2090,1114.2380,1.0188,BTCUSDT
1771671600000,1978.6830,2072.2690,0.9548,BTCUSDT
1771675200000,3252.9520,2328.4570,1.3970,BTCUSDT
1771678800000,1092.1180,966.3500,1.1301,BTCUSDT
1771682400000,5680.2030,4525.8200,1.2551,BTCUSDT
1771686000000,2630.3910,1775.1290,1.4818,BTCUSDT
1771689600000,3617.7100,4610.4370,0.7847,BTCUSDT
1771693200000,1734.2440,1218.2890,1.4235,BTCUSDT
1771696800000,1931.6790,1467.4180,1.3164,BTCUSDT
1771700400000,1173.4150,1002.0430,1.1710,BTCUSDT
1771704000000,1370.5920,1908.4940,0.7182,BTCUSDT
1771707600000,1234.9130,941.8820,1.3111,BTCUSDT
1771711200000,1978.5820,2388.0350,0.8285,BTCUSDT
1771714800000,1479.1730,1203.5780,1.2290,BTCUSDT
1771718400000,1407.2690,1620.6630,0.8683,BTCUSDT
1771722000000,1433.9420,1365.1790,1.0504,BTCUSDT
1771725600000,1549.9800,1810.7370,0.8560,BTCUSDT
1771729200000,1630.5650,1799.4910,0.9061,BTCUSDT
1771732800000,595.9580,1138.6320,0.5234,BTCUSDT
1771736400000,767.3040,1002.5320,0.7654,BTCUSDT
1771740000000,2067.9620,1621.0950,1.2757,BTCUSDT
1771743600000,881.9100,997.6990,0.8839,BTCUSDT
1771747200000,1309.0460,1582.4370,0.8272,BTCUSDT
1771750800000,842.1080,969.2550,0.8688,BTCUSDT
1771754400000,1116.8180,950.9970,1.1744,BTCUSDT
1771758000000,1422.3780,1005.3710,1.4148,BTCUSDT
1771761600000,2157.9170,2688.9180,0.8025,BTCUSDT
1771765200000,4203.3130,4314.2020,0.9743,BTCUSDT
1771768800000,4908.8240,4456.5170,1.1015,BTCUSDT
1771772400000,4419.4880,4416.3310,1.0007,BTCUSDT
1771776000000,1364.8240,1455.6240,0.9376,BTCUSDT
1771779600000,3281.3900,3272.1530,1.0028,BTCUSDT
1771783200000,1377.1260,1034.9860,1.3306,BTCUSDT
1771786800000,713.0020,647.1630,1.1017,BTCUSDT
1771790400000,1049.1920,735.0580,1.4274,BTCUSDT
1771794000000,965.8190,700.0320,1.3797,BTCUSDT
1771797600000,1614.1680,1278.4050,1.2626,BTCUSDT
1771801200000,1978.3130,1447.7470,1.3665,BTCUSDT
1771804800000,3488.0430,4696.0080,0.7428,BTCUSDT
1771808400000,27196.1590,32223.6060,0.8440,BTCUSDT
1771812000000,7784.8080,6885.8510,1.1306,BTCUSDT
1771815600000,4093.0370,3833.6220,1.0677,BTCUSDT
1771819200000,2257.4560,2740.7090,0.8237,BTCUSDT
1771822800000,3499.2780,3433.9370,1.0190,BTCUSDT
1771826400000,6022.9910,5561.0120,1.0831,BTCUSDT
1771830000000,4403.1180,3985.1970,1.1049,BTCUSDT
1771833600000,2844.8380,3695.1490,0.7699,BTCUSDT
1771837200000,6564.8640,5193.4570,1.2641,BTCUSDT
1771840800000,3525.1040,3802.0490,0.9272,BTCUSDT
1771844400000,2332.6790,3052.9290,0.7641,BTCUSDT
