fundingTime,fundingRate,markPrice,symbol
1769097600005,-0.00002933,2941.55707752,ETHUSDT
1769126400005,0.00001674,2951.21000000,ETHUSDT
1769155200000,0.00002868,2946.97571318,ETHUSDT
1769184000011,0.00005045,2951.24000000,ETHUSDT
1769212800011,0.00003675,2955.08000000,ETHUSDT
1769241600002,0.00001171,2956.00000000,ETHUSDT
1769270400001,0.00001292,2955.54000000,ETHUSDT
1769299200002,0.00004065,2952.08000000,ETHUSDT
1769328000011,0.00006759,2938.43000000,ETHUSDT
1769356800005,0.00004059,2925.57100775,ETHUSDT
1769385600000,-0.00013629,2815.96000000,ETHUSDT
1769414400003,0.00006540,2903.00000000,ETHUSDT
1769443200000,0.00001326,2898.08531008,ETHUSDT
1769472000002,0.00007255,2928.90000000,ETHUSDT
1769500800000,0.00008694,2927.95000000,ETHUSDT
1769529600000,0.00009488,2936.46734964,ETHUSDT
1769558400000,0.00008698,3024.92000000,ETHUSDT
1769587200000,0.00009559,3004.06000000,ETHUSDT
1769616000000,0.00004501,3006.11000000,ETHUSDT
1769644800000,0.00004731,3009.43262791,ETHUSDT
1769673600009,0.00004078,2960.11000000,ETHUSDT
1769702400000,-0.00001167,2822.98037690,ETHUSDT
1769731200008,0.00000473,2821.16860465,ETHUSDT
1769760000000,-0.00000308,2738.97818605,ETHUSDT
1769788800001,-0.00000056,2728.23081395,ETHUSDT
1769817600000,-0.00007003,2705.70828682,ETHUSDT
1769846400001,0.00001854,2678.85000000,ETHUSDT
1769875200009,-0.00008908,2532.73000000,ETHUSDT
1769904000001,-0.00016427,2450.28496124,ETHUSDT
1769932800004,0.00001415,2410.09168992,ETHUSDT
1769961600000,-0.00007308,2313.97000000,ETHUSDT
1769990400000,-0.00015302,2269.04000000,ETHUSDT
1770019200014,-0.00008208,2227.81549612,ETHUSDT
1770048000000,-0.00010921,2370.86000000,ETHUSDT
1770076800000,-0.00015482,2345.61148757,ETHUSDT
1770105600007,0.00001010,2322.00000000,ETHUSDT
1770134400000,-0.00003903,2302.36555814,ETHUSDT
1770163200002,-0.00002474,2232.23000000,ETHUSDT
1770192000007,0.00002076,2282.97981395,ETHUSDT
1770220800000,-0.00006117,2150.29837610,ETHUSDT
1770249600011,0.00005503,2147.46000000,ETHUSDT
1770278400000,-0.00000504,2090.27147955,ETHUSDT
1770307200007,-0.00007797,1959.31603876,ETHUSDT
1770336000000,-0.00027709,1825.43212403,ETHUSDT
1770364800001,-0.00008430,1897.98374419,ETHUSDT
1770393600000,0.00001852,1979.44000000,ETHUSDT
1770422400003,0.00010000,2062.55000000,ETHUSDT
1770451200000,-0.00000183,2027.29000000,ETHUSDT
1770480000010,0.00001636,2051.48000000,ETHUSDT
1770508800003,0.00002665,2086.11494387,ETHUSDT
1770537600000,-0.00003046,2083.49000000,ETHUSDT
1770566400000,-0.00005398,2107.30000000,ETHUSDT
1770595200002,-0.00004033,2088.75428682,ETHUSDT
1770624000001,-0.00004865,2064.47652713,ETHUSDT
1770652800007,-0.00000334,2060.83712403,ETHUSDT
1770681600000,0.00004269,2103.96000000,ETHUSDT
1770710400007,-0.00015210,2006.06000000,ETHUSDT
