timestamp,longAccount,shortAccount,longShortRatio,symbol
1771592400000,0.7317,0.2683,2.7272,ETHUSDT
1771596000000,0.7420,0.2580,2.8760,ETHUSDT
1771599600000,0.7380,0.2620,2.8168,ETHUSDT
1771603200000,0.7353,0.2647,2.7779,ETHUSDT
1771606800000,0.7286,0.2714,2.6846,ETHUSDT
1771610400000,0.7278,0.2722,2.6738,ETHUSDT
1771614000000,0.7142,0.2858,2.4990,ETHUSDT
1771617600000,0.7150,0.2850,2.5088,ETHUSDT
1771621200000,0.7132,0.2868,2.4868,ETHUSDT
1771624800000,0.7102,0.2898,2.4507,ETHUSDT
1771628400000,0.7092,0.2908,2.4388,ETHUSDT
1771632000000,0.7085,0.2915,2.4305,ETHUSDT
1771635600000,0.7051,0.2949,2.3910,ETHUSDT
1771639200000,0.7055,0.2945,2.3956,ETHUSDT
1771642800000,0.7078,0.2922,2.4223,ETHUSDT
1771646400000,0.7110,0.2890,2.4602,ETHUSDT
1771650000000,0.7112,0.2888,2.4626,ETHUSDT
1771653600000,0.7112,0.2888,2.4626,ETHUSDT
1771657200000,0.7107,0.2893,2.4566,ETHUSDT
1771660800000,0.7103,0.2897,2.4518,ETHUSDT
1771664400000,0.7054,0.2946,2.3944,ETHUSDT
1771668000000,0.6941,0.3059,2.2690,ETHUSDT
1771671600000,0.6927,0.3073,2.2541,ETHUSDT
1771675200000,0.6833,0.3167,2.1576,ETHUSDT
1771678800000,0.6877,0.3123,2.2020,ETHUSDT
1771682400000,0.6865,0.3135,2.1898,ETHUSDT
1771686000000,0.6760,0.3240,2.0864,ETHUSDT
1771689600000,0.6722,0.3278,2.0506,ETHUSDT
1771693200000,0.6728,0.3272,2.0562,ETHUSDT
1771696800000,0.6698,0.3302,2.0285,ETHUSDT
1771700400000,0.6695,0.3305,2.0257,ETHUSDT
1771704000000,0.6669,0.3331,2.0021,ETHUSDT
1771707600000,0.6704,0.3296,2.0340,ETHUSDT
1771711200000,0.6794,0.3206,2.1192,ETHUSDT
1771714800000,0.6800,0.3200,2.1250,ETHUSDT
1771718400000,0.6793,0.3207,2.1182,ETHUSDT
1771722000000,0.6824,0.3176,2.1486,ETHUSDT
1771725600000,0.6847,0.3153,2.1716,ETHUSDT
1771729200000,0.6848,0.3152,2.1726,ETHUSDT
1771732800000,0.6877,0.3123,2.2020,ETHUSDT
1771736400000,0.6877,0.3123,2.2020,ETHUSDT
1771740000000,0.6868,0.3132,2.1928,ETHUSDT
1771743600000,0.6873,0.3127,2.1980,ETHUSDT
1771747200000,0.6880,0.3120,2.2051,ETHUSDT
1771750800000,0.6886,0.3114,2.2113,ETHUSDT
1771754400000,0.6893,0.3107,2.2185,ETHUSDT
1771758000000,0.6874,0.3126,2.1990,ETHUSDT
1771761600000,0.6839,0.3161,2.1636,ETHUSDT
1771765200000,0.6922,0.3078,2.2489,ETHUSDT
1771768800000,0.7156,0.2844,2.5162,ETHUSDT
1771772400000,0.7230,0.2770,2.6101,ETHUSDT
1771776000000,0.7268,0.2732,2.6603,ETHUSDT
1771779600000,0.7282,0.2718,2.6792,ETHUSDT
1771783200000,0.7317,0.2683,2.7272,ETHUSDT
1771786800000,0.7328,0.2672,2.7425,ETHUSDT
1771790400000,0.7339,0.2661,2.7580,ETHUSDT
1771794000000,0.7362,0.2638,2.7908,ETHUSDT
1771797600000,0.7386,0.2614,2.8256,ETHUSDT
1771801200000,0.7398,0.2602,2.8432,ETHUSDT
1771804800000,0.7377,0.2623,2.8124,ETHUSDT
1771808400000,0.7379,0.2621,2.8153,ETHUSDT
1771812000000,0.7337,0.2663,2.7552,ETHUSDT
1771815600000,0.7445,0.2555,2.9139,ETHUSDT
1771819200000,0.7497,0.2503,2.9952,ETHUSDT
1771822800000,0.7504,0.2496,3.0064,ETHUSDT
1771826400000,0.7506,0.2494,3.0096,ETHUSDT
1771830000000,0.7498,0.2502,2.9968,ETHUSDT
1771833600000,0.7439,0.2561,2.9047,ETHUSDT
1771837200000,0.7338,0.2662,2.7566,ETHUSDT
1771840800000,0.7225,0.2775,2.6036,ETHUSDT
1771844400000,0.7013,0.2987,2.3478,ETHUSDT
1771848000000,0.6954,0.3046,2.2830,ETHUSDT
1771851600000,0.6901,0.3099,2.2268,ETHUSDT
1771855200000,0.6868,0.3132,2.1928,ETHUSDT
1771858800000,0.6774,0.3226,2.0998,ETHUSDT
1771862400000,0.6802,0.3198,2.1270,ETHUSDT
1771866000000,0.6859,0.3141,2.1837,ETHUSDT
1771869600000,0.7162,0.2838,2.5236,ETHUSDT
1771873200000,0.7181,0.2819,2.5474,ETHUSDT
1771876800000,0.7198,0.2802,2.5689,ETHUSDT
1771880400000,0.7232,0.2768,2.6127,ETHUSDT
1771884000000,0.7263,0.2737,2.6536,ETHUSDT
1771887600000,0.7291,0.2709,2.6914,ETHUSDT
1771891200000,0.7300,0.2700,2.7037,ETHUSDT
1771894800000,0.7317,0.2683,2.7272,ETHUSDT
1771898400000,0.7227,0.2773,2.6062,ETHUSDT
1771902000000,0.7253,0.2747,2.6403,ETHUSDT
1771905600000,0.7285,0.2715,2.6832,ETHUSDT
1771909200000,0.7279,0.2721,2.6751,ETHUSDT
1771912800000,0.7343,0.2657,2.7636,ETHUSDT
1771916400000,0.7353,0.2647,2.7779,ETHUSDT
1771920000000,0.7359,0.2641,2.7864,ETHUSDT
1771923600000,0.7360,0.2640,2.7879,ETHUSDT
1771927200000,0.7380,0.2620,2.8168,ETHUSDT
1771930800000,0.7368,0.2632,2.7994,ETHUSDT
1771934400000,0.7398,0.2602,2.8432,ETHUSDT
1771938000000,0.7386,0.2614,2.8256,ETHUSDT
1771941600000,0.7246,0.2754,2.6311,ETHUSDT
1771945200000,0.7238,0.2762,2.6206,ETHUSDT
1771948800000,0.7170,0.2830,2.5336,ETHUSDT
1771952400000,0.7104,0.2896,2.4530,ETHUSDT
1771956000000,0.7031,0.2969,2.3681,ETHUSDT
1771959600000,0.6999,0.3001,2.3322,ETHUSDT
1771963200000,0.6989,0.3011,2.3212,ETHUSDT
1771966800000,0.6973,0.3027,2.3036,ETHUSDT
1771970400000,0.6959,0.3041,2.2884,ETHUSDT
1771974000000,0.6928,0.3072,2.2552,ETHUSDT
1771977600000,0.6934,0.3066,2.2616,ETHUSDT
1771981200000,0.6929,0.3071,2.2563,ETHUSDT
1771984800000,0.6782,0.3218,2.1075,ETHUSDT
1771988400000,0.6651,0.3349,1.9860,ETHUSDT
1771992000000,0.6631,0.3369,1.9682,ETHUSDT
1771995600000,0.6719,0.3281,2.0479,ETHUSDT
1771999200000,0.6794,0.3206,2.1192,ETHUSDT
1772002800000,0.6805,0.3195,2.1299,ETHUSDT
1772006400000,0.6834,0.3166,2.1586,ETHUSDT
1772010000000,0.6914,0.3086,2.2404,ETHUSDT
1772013600000,0.6824,0.3176,2.1486,ETHUSDT
1772017200000,0.6758,0.3242,2.0845,ETHUSDT
1772020800000,0.6698,0.3302,2.0285,ETHUSDT
1772024400000,0.6589,0.3411,1.9317,ETHUSDT
1772028000000,0.6385,0.3615,1.7663,ETHUSDT
1772031600000,0.6099,0.3901,1.5634,ETHUSDT
1772035200000,0.5979,0.4021,1.4869,ETHUSDT
