timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1771592400000,1761777.65200000,3433488139.24470140,ETHUSDT
1771596000000,1768370.28200000,3418129457.74625870,ETHUSDT
1771599600000,1762707.65300000,3422913855.97805000,ETHUSDT
1771603200000,1765663.00300000,3466149895.94285540,ETHUSDT
1771606800000,1755392.37100000,3454425216.42527530,ETHUSDT
1771610400000,1751887.73600000,3443569894.35511830,ETHUSDT
1771614000000,1780839.05600000,3516351354.24132350,ETHUSDT
1771617600000,1767633.39200000,3469652232.48896000,ETHUSDT
1771621200000,1766481.08400000,3480162048.39924000,ETHUSDT
1771624800000,1757954.93400000,3469218584.95296000,ETHUSDT
1771628400000,1752904.70600000,3454029219.60742570,ETHUSDT
1771632000000,1751107.44500000,3446034584.95253700,ETHUSDT
1771635600000,1749332.44000000,3432831275.91307200,ETHUSDT
1771639200000,1746976.95700000,3433438632.20952000,ETHUSDT
1771642800000,1750036.72800000,3438192157.29792000,ETHUSDT
1771646400000,1740600.72300000,3408600989.84367000,ETHUSDT
1771650000000,1741011.24900000,3415098025.58844000,ETHUSDT
1771653600000,1741425.45700000,3416694160.88857000,ETHUSDT
1771657200000,1741269.48700000,3413911763.65659100,ETHUSDT
1771660800000,1740062.63800000,3414020296.38238000,ETHUSDT
1771664400000,1747445.43000000,3439182299.69160000,ETHUSDT
1771668000000,1760077.22300000,3466278482.20397000,ETHUSDT
1771671600000,1759473.12900000,3471950485.22512440,ETHUSDT
1771675200000,1755706.09400000,3469819510.63314000,ETHUSDT
1771678800000,1753444.13000000,3463157363.39780000,ETHUSDT
1771682400000,1755631.41600000,3476808810.42425160,ETHUSDT
1771686000000,1777546.44500000,3531522176.30424900,ETHUSDT
1771689600000,1787574.40900000,3552589628.95842000,ETHUSDT
1771693200000,1794105.98000000,3561789285.04500250,ETHUSDT
1771696800000,1791096.39800000,3560436799.05156700,ETHUSDT
1771700400000,1793106.27700000,3570469080.88794000,ETHUSDT
1771704000000,1791959.70200000,3561376550.94884000,ETHUSDT
1771707600000,1783432.03000000,3519183645.22722430,ETHUSDT
1771711200000,1775532.00700000,3517937211.38882200,ETHUSDT
1771714800000,1771197.61100000,3496094921.91736700,ETHUSDT
1771718400000,1774004.37200000,3500202640.40504800,ETHUSDT
1771722000000,1771896.13300000,3494444958.69595000,ETHUSDT
1771725600000,1772583.09700000,3503508512.52144050,ETHUSDT
1771729200000,1770193.75300000,3489653753.03902000,ETHUSDT
1771732800000,1770549.94800000,3494643588.82573200,ETHUSDT
1771736400000,1771228.17900000,3494456074.34910000,ETHUSDT
1771740000000,1774268.39100000,3502600973.35701000,ETHUSDT
1771743600000,1777602.56200000,3511067252.38554000,ETHUSDT
1771747200000,1772140.81300000,3499995827.08313000,ETHUSDT
1771750800000,1768576.82800000,3488978665.16231800,ETHUSDT
1771754400000,1768187.24200000,3491773139.61793850,ETHUSDT
1771758000000,1767804.80100000,3494083867.22451000,ETHUSDT
1771761600000,1772651.78700000,3509584640.49195000,ETHUSDT
1771765200000,1755221.59300000,3449974441.49092340,ETHUSDT
1771768800000,1756211.24400000,3424594363.68756000,ETHUSDT
1771772400000,1767012.35200000,3445037961.95328000,ETHUSDT
1771776000000,1770878.65400000,3458717108.53072300,ETHUSDT
1771779600000,1773861.57500000,3461718530.35409930,ETHUSDT
1771783200000,1769888.02900000,3432054361.32903600,ETHUSDT
1771786800000,1772381.92500000,3442266646.05367300,ETHUSDT
1771790400000,1772139.00700000,3442681284.72869000,ETHUSDT
1771794000000,1773448.40900000,3440099754.81002000,ETHUSDT
1771797600000,1767944.28200000,3446501301.10208000,ETHUSDT
1771801200000,1760200.99400000,3445585231.47782750,ETHUSDT
1771804800000,1749176.97500000,3423139340.07500000,ETHUSDT
1771808400000,1745782.46300000,3366095540.38419000,ETHUSDT
1771812000000,1797215.92300000,3333997286.59807000,ETHUSDT
1771815600000,1837020.36800000,3419521564.01360000,ETHUSDT
1771819200000,1862925.80300000,3466774514.57679000,ETHUSDT
1771822800000,1877803.97000000,3489260224.89520000,ETHUSDT
1771826400000,1877074.14900000,3499448688.76534200,ETHUSDT
1771830000000,1878245.69600000,3527448909.89088100,ETHUSDT
1771833600000,1872642.35300000,3528643981.70337900,ETHUSDT
1771837200000,1868471.17900000,3511693609.30716850,ETHUSDT
1771840800000,1831759.42600000,3511354596.48218000,ETHUSDT
1771844400000,1808921.50200000,3460472414.33724260,ETHUSDT
1771848000000,1799794.67000000,3446073691.07906440,ETHUSDT
1771851600000,1796021.57100000,3446978479.71033000,ETHUSDT
1771855200000,1782263.88600000,3423922222.75269940,ETHUSDT
1771858800000,1798164.87200000,3427479171.32182900,ETHUSDT
1771862400000,1795479.66600000,3403008520.56312000,ETHUSDT
1771866000000,1798616.14500000,3388592817.18000000,ETHUSDT
1771869600000,1801921.85600000,3356710129.44960000,ETHUSDT
1771873200000,1798553.37300000,3339328795.36278500,ETHUSDT
1771876800000,1800606.62100000,3342376040.23125000,ETHUSDT
1771880400000,1799026.32100000,3346081015.48074000,ETHUSDT
1771884000000,1791367.49500000,3336798146.61145000,ETHUSDT
