timestamp,buyVol,sellVol,buySellRatio,symbol
1771588800000,61835.8220,56152.2620,1.1012,ETHUSDT
1771592400000,171165.9740,184632.4530,0.9271,ETHUSDT
1771596000000,144572.2440,139441.0500,1.0368,ETHUSDT
1771599600000,397837.9860,382005.9310,1.0414,ETHUSDT
1771603200000,150973.7150,157342.2890,0.9595,ETHUSDT
1771606800000,198725.7000,200367.3030,0.9918,ETHUSDT
1771610400000,167812.6090,170246.7770,0.9857,ETHUSDT
1771614000000,53702.0050,65380.8830,0.8214,ETHUSDT
1771617600000,28693.9990,25521.5780,1.1243,ETHUSDT
1771621200000,48634.8030,30892.3950,1.5743,ETHUSDT
1771624800000,29467.8180,32545.1080,0.9054,ETHUSDT
1771628400000,26966.6660,33600.5170,0.8026,ETHUSDT
1771632000000,21788.6110,27841.9340,0.7826,ETHUSDT
1771635600000,19977.8760,17599.8600,1.1351,ETHUSDT
1771639200000,19279.0280,15209.7390,1.2675,ETHUSDT
1771642800000,29462.5350,47263.6650,0.6234,ETHUSDT
1771646400000,20627.2480,17225.8070,1.1975,ETHUSDT
1771650000000,13162.6030,12894.7760,1.0208,ETHUSDT
1771653600000,24859.0710,24677.1960,1.0074,ETHUSDT
1771657200000,15196.8710,12676.9730,1.1988,ETHUSDT
1771660800000,41318.8430,22965.0700,1.7992,ETHUSDT
1771664400000,71392.7760,65191.3470,1.0951,ETHUSDT
1771668000000,24176.7630,25250.6310,0.9575,ETHUSDT
1771671600000,143662.6790,93061.8960,1.5437,ETHUSDT
1771675200000,55380.1350,62904.6500,0.8804,ETHUSDT
1771678800000,28322.5380,28444.7840,0.9957,ETHUSDT
1771682400000,128231.0130,108645.2540,1.1803,ETHUSDT
1771686000000,50257.3060,46479.0730,1.0813,ETHUSDT
1771689600000,87273.3070,101893.3460,0.8565,ETHUSDT
1771693200000,26225.2910,29065.5900,0.9023,ETHUSDT
1771696800000,34296.8040,34578.1940,0.9919,ETHUSDT
1771700400000,15584.8200,18634.6620,0.8363,ETHUSDT
1771704000000,42819.3220,67869.4660,0.6309,ETHUSDT
1771707600000,50231.5200,48770.6470,1.0300,ETHUSDT
1771711200000,26184.6490,23940.0940,1.0938,ETHUSDT
1771714800000,21025.8730,20831.7460,1.0093,ETHUSDT
1771718400000,42074.7000,37496.4500,1.1221,ETHUSDT
1771722000000,36356.1420,25704.6730,1.4144,ETHUSDT
1771725600000,36998.0860,33497.4520,1.1045,ETHUSDT
1771729200000,40617.3200,41809.2430,0.9715,ETHUSDT
1771732800000,17674.7180,19113.4700,0.9247,ETHUSDT
1771736400000,16356.3440,14664.3900,1.1154,ETHUSDT
1771740000000,20167.5890,20068.9870,1.0049,ETHUSDT
1771743600000,17271.7780,21298.1820,0.8110,ETHUSDT
1771747200000,20916.3010,29528.6240,0.7083,ETHUSDT
1771750800000,19440.0470,23613.3650,0.8233,ETHUSDT
1771754400000,21966.5840,19212.6420,1.1433,ETHUSDT
1771758000000,37954.7380,28400.0730,1.3364,ETHUSDT
1771761600000,97704.2960,124245.7060,0.7864,ETHUSDT
1771765200000,155432.7090,192085.3810,0.8092,ETHUSDT
1771768800000,93393.6450,86331.6470,1.0818,ETHUSDT
1771772400000,77873.9470,83431.9660,0.9334,ETHUSDT
1771776000000,35374.9510,40070.1240,0.8828,ETHUSDT
1771779600000,89418.3330,121691.0460,0.7348,ETHUSDT
1771783200000,31872.8010,24813.3210,1.2845,ETHUSDT
1771786800000,20381.8340,18012.5710,1.1315,ETHUSDT
1771790400000,20115.2050,19327.3980,1.0408,ETHUSDT
1771794000000,34789.3890,20108.7290,1.7301,ETHUSDT
1771797600000,48998.1140,42591.1790,1.1504,ETHUSDT
1771801200000,55893.9980,44167.2690,1.2655,ETHUSDT
1771804800000,75602.5220,107140.9410,0.7056,ETHUSDT
1771808400000,612879.8960,709460.2000,0.8639,ETHUSDT
1771812000000,160073.8070,156361.8980,1.0237,ETHUSDT
1771815600000,90173.0240,102046.7180,0.8836,ETHUSDT
1771819200000,44577.4550,59096.9700,0.7543,ETHUSDT
1771822800000,72907.9820,74018.6190,0.9850,ETHUSDT
1771826400000,111378.9270,105870.3730,1.0520,ETHUSDT
1771830000000,101402.7040,78384.0920,1.2937,ETHUSDT
1771833600000,68260.3980,70602.7270,0.9668,ETHUSDT
1771837200000,216507.2740,182522.7540,1.1862,ETHUSDT
1771840800000,145506.9980,170087.6230,0.8555,ETHUSDT
1771844400000,61174.4760,67683.0880,0.9038,ETHUSDT
1771848000000,116707.9000,126005.9780,0.9262,ETHUSDT
1771851600000,142953.4170,110320.3370,1.2958,ETHUSDT
1771855200000,233612.8710,257847.1540,0.9060,ETHUSDT
1771858800000,136982.3520,123802.2770,1.1065,ETHUSDT
1771862400000,152725.0770,152810.6400,0.9994,ETHUSDT
1771866000000,317224.5780,312364.1730,1.0156,ETHUSDT
1771869600000,128149.2740,114867.5570,1.1156,ETHUSDT
1771873200000,82933.7170,82557.1710,1.0046,ETHUSDT
1771876800000,84082.5900,71158.3130,1.1816,ETHUSDT
1771880400000,57997.3710,56072.7880,1.0343,ETHUSDT
1771884000000,32253.2730,35133.0550,0.9180,ETHUSDT
1771887600000,44675.7880,55979.3190,0.7981,ETHUSDT
1771891200000,50757.7210,44478.5470,1.1412,ETHUSDT
1771894800000,389615.3800,358066.0600,1.0881,ETHUSDT
1771898400000,78981.8450,79837.8000,0.9893,ETHUSDT
1771902000000,121872.5690,148447.9980,0.8210,ETHUSDT
1771905600000,155585.9540,151486.6370,1.0271,ETHUSDT
1771909200000,137526.8650,124748.7580,1.1024,ETHUSDT
1771912800000,59894.1100,70948.1330,0.8442,ETHUSDT
1771916400000,83034.1990,88550.0860,0.9377,ETHUSDT
1771920000000,73596.3740,79122.3690,0.9302,ETHUSDT
1771923600000,84676.7720,94644.2310,0.8947,ETHUSDT
1771927200000,49183.7930,54186.9430,0.9077,ETHUSDT
1771930800000,56309.0330,52577.1290,1.0710,ETHUSDT
1771934400000,62817.4870,61732.7180,1.0176,ETHUSDT
1771938000000,215464.4190,287053.7820,0.7506,ETHUSDT
1771941600000,311237.8800,311497.7410,0.9992,ETHUSDT
1771945200000,187200.9310,197156.8060,0.9495,ETHUSDT
1771948800000,225617.1890,211373.0870,1.0674,ETHUSDT
1771952400000,135726.6840,143717.4180,0.9444,ETHUSDT
1771956000000,59473.4650,69876.1590,0.8511,ETHUSDT
1771959600000,56247.4050,57510.6030,0.9780,ETHUSDT
1771963200000,40687.5590,37565.3860,1.0831,ETHUSDT
1771966800000,41078.8640,48012.0240,0.8556,ETHUSDT
1771970400000,39979.6520,34642.8910,1.1541,ETHUSDT
1771974000000,32902.1410,36125.5170,0.9108,ETHUSDT
1771977600000,38923.7020,46197.8290,0.8425,ETHUSDT
1771981200000,422306.9380,375944.4710,1.1233,ETHUSDT
1771984800000,196362.7530,167841.9860,1.1699,ETHUSDT
1771988400000,110258.8130,139698.7430,0.7893,ETHUSDT
1771992000000,133120.1560,108344.6080,1.2287,ETHUSDT
1771995600000,160102.3740,182332.5420,0.8781,ETHUSDT
1771999200000,58008.2940,51463.4170,1.1272,ETHUSDT
1772002800000,55106.0310,47350.0950,1.1638,ETHUSDT
1772006400000,123382.2930,106008.5830,1.1639,ETHUSDT
1772010000000,75700.9300,73504.1310,1.0299,ETHUSDT
1772013600000,67637.8860,72672.1000,0.9307,ETHUSDT
1772017200000,79753.1910,88126.7180,0.9050,ETHUSDT
1772020800000,229338.8520,186825.5660,1.2276,ETHUSDT
1772024400000,247803.7630,220058.9660,1.1261,ETHUSDT
1772028000000,328876.0170,291578.9240,1.1279,ETHUSDT
1772031600000,373747.9450,356534.3630,1.0483,ETHUSDT
1772035200000,289300.6280,247371.9980,1.1695,ETHUSDT
1772038800000,351394.7370,323317.5190,1.0868,ETHUSDT
1772042400000,178925.1050,189047.6130,0.9465,ETHUSDT
1772046000000,85660.4580,99308.2340,0.8626,ETHUSDT
1772049600000,140041.2990,126990.0050,1.1028,ETHUSDT
1772053200000,387531.1530,294697.0600,1.3150,ETHUSDT
1772056800000,136492.6100,141042.4370,0.9677,ETHUSDT
1772060400000,182632.7020,206479.9770,0.8845,ETHUSDT
1772064000000,129440.8560,126118.6010,1.0263,ETHUSDT
1772067600000,62653.6930,73305.0050,0.8547,ETHUSDT
1772071200000,94149.0240,83165.6540,1.1321,ETHUSDT
1772074800000,44738.6380,44226.1130,1.0116,ETHUSDT
1772078400000,125134.2040,99335.8480,1.2597,ETHUSDT
1772082000000,77438.0260,81838.1940,0.9462,ETHUSDT
1772085600000,58530.4180,65692.9250,0.8910,ETHUSDT
1772089200000,51764.1720,67675.5810,0.7649,ETHUSDT
1772092800000,91379.6030,108330.9360,0.8435,ETHUSDT
1772096400000,118132.5790,91399.0540,1.2925,ETHUSDT
1772100000000,75865.0840,82742.8370,0.9169,ETHUSDT
1772103600000,48781.3430,56588.0340,0.8620,ETHUSDT
1772107200000,62808.1180,57648.6390,1.0895,ETHUSDT
1772110800000,50898.1860,56605.8730,0.8992,ETHUSDT
1772114400000,230503.0910,241765.2730,0.9534,ETHUSDT
