timestamp,longAccount,shortAccount,longShortRatio,symbol
1772085600000,0.6622,0.3378,1.9603,SOLUSDT
1772089200000,0.6603,0.3397,1.9438,SOLUSDT
1772092800000,0.6556,0.3444,1.9036,SOLUSDT
1772096400000,0.6580,0.3420,1.9240,SOLUSDT
1772100000000,0.6655,0.3345,1.9895,SOLUSDT
1772103600000,0.6697,0.3303,2.0276,SOLUSDT
1772107200000,0.6639,0.3361,1.9753,SOLUSDT
1772110800000,0.6721,0.3279,2.0497,SOLUSDT
1772114400000,0.6682,0.3318,2.0139,SOLUSDT
1772118000000,0.6716,0.3284,2.0451,SOLUSDT
1772121600000,0.6702,0.3298,2.0321,SOLUSDT
1772125200000,0.6748,0.3252,2.0750,SOLUSDT
1772128800000,0.6759,0.3241,2.0855,SOLUSDT
1772132400000,0.6829,0.3171,2.1536,SOLUSDT
1772136000000,0.6920,0.3080,2.2468,SOLUSDT
1772139600000,0.6908,0.3092,2.2342,SOLUSDT
1772143200000,0.6908,0.3092,2.2342,SOLUSDT
1772146800000,0.6926,0.3074,2.2531,SOLUSDT
1772150400000,0.6926,0.3074,2.2531,SOLUSDT
1772154000000,0.6859,0.3141,2.1837,SOLUSDT
1772157600000,0.6886,0.3114,2.2113,SOLUSDT
1772161200000,0.6919,0.3081,2.2457,SOLUSDT
1772164800000,0.6999,0.3001,2.3322,SOLUSDT
1772168400000,0.7035,0.2965,2.3727,SOLUSDT
1772172000000,0.7031,0.2969,2.3681,SOLUSDT
1772175600000,0.7014,0.2986,2.3490,SOLUSDT
1772179200000,0.6950,0.3050,2.2787,SOLUSDT
1772182800000,0.6962,0.3038,2.2916,SOLUSDT
1772186400000,0.6985,0.3015,2.3167,SOLUSDT
1772190000000,0.7041,0.2959,2.3795,SOLUSDT
1772193600000,0.7116,0.2884,2.4674,SOLUSDT
1772197200000,0.7165,0.2835,2.5273,SOLUSDT
1772200800000,0.7345,0.2655,2.7665,SOLUSDT
1772204400000,0.7343,0.2657,2.7636,SOLUSDT
1772208000000,0.7375,0.2625,2.8095,SOLUSDT
1772211600000,0.7375,0.2625,2.8095,SOLUSDT
1772215200000,0.7405,0.2595,2.8536,SOLUSDT
