fundingTime,fundingRate,markPrice,symbol
1769587200000,0.00006354,1.91520189,XRPUSDT
1769616000000,0.00003167,1.90660000,XRPUSDT
1769644800000,0.00007856,1.91040000,XRPUSDT
1769673600009,-0.00006296,1.88468369,XRPUSDT
1769702400000,-0.00008506,1.80016432,XRPUSDT
1769731200008,-0.00012739,1.80663062,XRPUSDT
1769760000000,-0.00013698,1.75805586,XRPUSDT
1769788800001,-0.00006349,1.75750000,XRPUSDT
1769817600000,-0.00018810,1.73370000,XRPUSDT
1769846400001,-0.00016098,1.71844246,XRPUSDT
1769875200009,-0.00000515,1.63420000,XRPUSDT
1769904000001,-0.00014917,1.64600138,XRPUSDT
1769932800004,-0.00004784,1.65850000,XRPUSDT
1769961600000,0.00006109,1.59420000,XRPUSDT
1769990400000,-0.00003803,1.59010000,XRPUSDT
1770019200014,0.00004967,1.57880000,XRPUSDT
1770048000000,-0.00001124,1.64172964,XRPUSDT
1770076800000,-0.00001741,1.61890000,XRPUSDT
1770105600007,-0.00005456,1.61650000,XRPUSDT
1770134400000,-0.00003650,1.61760000,XRPUSDT
1770163200002,0.00006105,1.57822060,XRPUSDT
1770192000007,0.00004654,1.60450000,XRPUSDT
1770220800000,-0.00002569,1.54290000,XRPUSDT
1770249600011,-0.00008430,1.51120000,XRPUSDT
1770278400000,0.00007951,1.43163325,XRPUSDT
1770307200007,-0.00003750,1.29590000,XRPUSDT
1770336000000,-0.00014808,1.21420206,XRPUSDT
1770364800001,-0.00033516,1.29130000,XRPUSDT
1770393600000,-0.00044229,1.51150000,XRPUSDT
1770422400003,-0.00014133,1.46840000,XRPUSDT
1770451200000,-0.00005299,1.41317077,XRPUSDT
1770480000010,0.00001112,1.40982545,XRPUSDT
1770508800003,-0.00006230,1.42250000,XRPUSDT
1770537600000,-0.00008736,1.42032640,XRPUSDT
1770566400000,-0.00023346,1.43908508,XRPUSDT
1770595200002,-0.00011388,1.43015139,XRPUSDT
1770624000001,-0.00009458,1.42440000,XRPUSDT
1770652800007,-0.00001156,1.44553153,XRPUSDT
1770681600000,-0.00009454,1.43630000,XRPUSDT
1770710400007,-0.00002408,1.42120000,XRPUSDT
1770739200000,-0.00025661,1.40610000,XRPUSDT
1770768000000,-0.00016053,1.39887555,XRPUSDT
1770796800006,-0.00006033,1.36631164,XRPUSDT
1770825600000,-0.00003453,1.35350000,XRPUSDT
1770854400000,0.00002632,1.36931106,XRPUSDT
1770883200001,-0.00000252,1.38142581,XRPUSDT
1770912000001,-0.00007909,1.37493163,XRPUSDT
1770940800007,-0.00008639,1.36273269,XRPUSDT
1770969600003,-0.00000861,1.35320000,XRPUSDT
1770998400005,-0.00000615,1.40380000,XRPUSDT
1771027200002,-0.00000351,1.40644785,XRPUSDT
1771056000004,-0.00003223,1.42150000,XRPUSDT
1771084800002,-0.00011636,1.46820000,XRPUSDT
1771113600000,-0.00015613,1.50820000,XRPUSDT
1771142400002,-0.00017162,1.64860956,XRPUSDT
1771171200000,0.00003244,1.52260000,XRPUSDT
1771200000001,-0.00010395,1.47420000,XRPUSDT
1771228800003,-0.00013289,1.46032048,XRPUSDT
1771257600000,-0.00017467,1.47340000,XRPUSDT
1771286400008,-0.00003147,1.48650000,XRPUSDT
1771315200001,-0.00016961,1.47210000,XRPUSDT
1771344000002,0.00001898,1.45650000,XRPUSDT
1771372800000,0.00000078,1.47320000,XRPUSDT
1771401600000,0.00002250,1.48620000,XRPUSDT
1771430400011,-0.00006561,1.47588636,XRPUSDT
1771459200013,-0.00002326,1.42110000,XRPUSDT
1771488000000,-0.00004123,1.43194744,XRPUSDT
1771516800003,0.00005176,1.39688318,XRPUSDT
1771545600000,0.00002745,1.40600000,XRPUSDT
1771574400000,-0.00006986,1.41879017,XRPUSDT
1771603200000,-0.00007590,1.42841979,XRPUSDT
1771632000004,0.00004577,1.42836505,XRPUSDT
1771660800000,0.00001049,1.43040000,XRPUSDT
1771689600005,-0.00002963,1.44910000,XRPUSDT
1771718400001,-0.00005915,1.42983939,XRPUSDT
1771747200004,-0.00004324,1.42040000,XRPUSDT
1771776000000,-0.00012333,1.39248815,XRPUSDT
1771804800001,-0.00020927,1.39230000,XRPUSDT
1771833600000,-0.00021254,1.37040000,XRPUSDT
1771862400000,0.00005582,1.37044822,XRPUSDT
1771891200007,-0.00003328,1.35110000,XRPUSDT
1771920000000,-0.00013612,1.32590000,XRPUSDT
1771948800001,-0.00008171,1.35072828,XRPUSDT
1771977600001,0.00008326,1.34780193,XRPUSDT
1772006400007,-0.00003419,1.36510000,XRPUSDT
1772035200000,0.00001954,1.44073737,XRPUSDT
1772064000000,0.00010000,1.43333469,XRPUSDT
1772092800006,-0.00001300,1.43350000,XRPUSDT
1772121600002,0.00002173,1.42060000,XRPUSDT
1772150400007,-0.00005385,1.40164248,XRPUSDT
1772179200000,-0.00002657,1.41610000,XRPUSDT
1772208000001,-0.00015959,1.35594533,XRPUSDT
1772236800000,-0.00021992,1.35511074,XRPUSDT
1772265600000,-0.00020446,1.30207924,XRPUSDT
1772294400004,-0.00021653,1.32316184,XRPUSDT
1772323200005,-0.00013135,1.37557232,XRPUSDT
1772352000000,0.00005472,1.39710000,XRPUSDT
1772380800002,-0.00003737,1.37790000,XRPUSDT
1772409600001,-0.00001980,1.35180000,XRPUSDT
1772438400007,-0.00001595,1.34630000,XRPUSDT
1772467200000,-0.00004485,1.39984994,XRPUSDT
1772496000000,0.00002442,1.38953832,XRPUSDT
1772524800000,-0.00002964,1.36290000,XRPUSDT
