timestamp,longAccount,shortAccount,longShortRatio,symbol
1772085600000,0.6888,0.3112,2.2134,XRPUSDT
1772089200000,0.6882,0.3118,2.2072,XRPUSDT
1772092800000,0.6837,0.3163,2.1616,XRPUSDT
1772096400000,0.6884,0.3116,2.2092,XRPUSDT
1772100000000,0.6908,0.3092,2.2342,XRPUSDT
1772103600000,0.6877,0.3123,2.2020,XRPUSDT
1772107200000,0.6869,0.3131,2.1939,XRPUSDT
1772110800000,0.6922,0.3078,2.2489,XRPUSDT
1772114400000,0.6928,0.3072,2.2552,XRPUSDT
1772118000000,0.6890,0.3110,2.2154,XRPUSDT
1772121600000,0.6861,0.3139,2.1857,XRPUSDT
1772125200000,0.6961,0.3039,2.2906,XRPUSDT
1772128800000,0.6955,0.3045,2.2841,XRPUSDT
1772132400000,0.7005,0.2995,2.3389,XRPUSDT
1772136000000,0.7021,0.2979,2.3568,XRPUSDT
1772139600000,0.7006,0.2994,2.3400,XRPUSDT
1772143200000,0.7015,0.2985,2.3501,XRPUSDT
1772146800000,0.7006,0.2994,2.3400,XRPUSDT
1772150400000,0.7020,0.2980,2.3557,XRPUSDT
1772154000000,0.6987,0.3013,2.3190,XRPUSDT
1772157600000,0.7004,0.2996,2.3378,XRPUSDT
1772161200000,0.7011,0.2989,2.3456,XRPUSDT
1772164800000,0.7028,0.2972,2.3647,XRPUSDT
1772168400000,0.7062,0.2938,2.4037,XRPUSDT
1772172000000,0.7066,0.2934,2.4083,XRPUSDT
1772175600000,0.7032,0.2968,2.3693,XRPUSDT
1772179200000,0.7011,0.2989,2.3456,XRPUSDT
1772182800000,0.6997,0.3003,2.3300,XRPUSDT
1772186400000,0.7027,0.2973,2.3636,XRPUSDT
1772190000000,0.6985,0.3015,2.3167,XRPUSDT
1772193600000,0.6961,0.3039,2.2906,XRPUSDT
1772197200000,0.6929,0.3071,2.2563,XRPUSDT
1772200800000,0.7010,0.2990,2.3445,XRPUSDT
1772204400000,0.7043,0.2957,2.3818,XRPUSDT
1772208000000,0.7075,0.2925,2.4188,XRPUSDT
1772211600000,0.7058,0.2942,2.3990,XRPUSDT
1772215200000,0.7108,0.2892,2.4578,XRPUSDT
1772218800000,0.7130,0.2870,2.4843,XRPUSDT
1772222400000,0.7102,0.2898,2.4507,XRPUSDT
1772226000000,0.7120,0.2880,2.4722,XRPUSDT
1772229600000,0.7109,0.2891,2.4590,XRPUSDT
1772233200000,0.7114,0.2886,2.4650,XRPUSDT
1772236800000,0.7159,0.2841,2.5199,XRPUSDT
1772240400000,0.7198,0.2802,2.5689,XRPUSDT
1772244000000,0.7204,0.2796,2.5765,XRPUSDT
1772247600000,0.7211,0.2789,2.5855,XRPUSDT
1772251200000,0.7186,0.2814,2.5537,XRPUSDT
1772254800000,0.7158,0.2842,2.5186,XRPUSDT
1772258400000,0.7126,0.2874,2.4795,XRPUSDT
1772262000000,0.7015,0.2985,2.3501,XRPUSDT
1772265600000,0.6986,0.3014,2.3179,XRPUSDT
1772269200000,0.6896,0.3104,2.2216,XRPUSDT
1772272800000,0.6863,0.3137,2.1878,XRPUSDT
1772276400000,0.6843,0.3157,2.1676,XRPUSDT
1772280000000,0.6905,0.3095,2.2310,XRPUSDT
1772283600000,0.6892,0.3108,2.2175,XRPUSDT
1772287200000,0.6921,0.3079,2.2478,XRPUSDT
1772290800000,0.6888,0.3112,2.2134,XRPUSDT
1772294400000,0.6861,0.3139,2.1857,XRPUSDT
1772298000000,0.6837,0.3163,2.1616,XRPUSDT
1772301600000,0.6828,0.3172,2.1526,XRPUSDT
1772305200000,0.6870,0.3130,2.1949,XRPUSDT
1772308800000,0.6910,0.3090,2.2362,XRPUSDT
1772312400000,0.6950,0.3050,2.2787,XRPUSDT
1772316000000,0.6861,0.3139,2.1857,XRPUSDT
1772319600000,0.6882,0.3118,2.2072,XRPUSDT
1772323200000,0.6839,0.3161,2.1636,XRPUSDT
1772326800000,0.6787,0.3213,2.1124,XRPUSDT
1772330400000,0.6811,0.3189,2.1358,XRPUSDT
1772334000000,0.6778,0.3222,2.1037,XRPUSDT
1772337600000,0.6738,0.3262,2.0656,XRPUSDT
1772341200000,0.6718,0.3282,2.0469,XRPUSDT
1772344800000,0.6696,0.3304,2.0266,XRPUSDT
1772348400000,0.6658,0.3342,1.9922,XRPUSDT
1772352000000,0.6682,0.3318,2.0139,XRPUSDT
1772355600000,0.6658,0.3342,1.9922,XRPUSDT
1772359200000,0.6643,0.3357,1.9789,XRPUSDT
1772362800000,0.6680,0.3320,2.0120,XRPUSDT
1772366400000,0.6694,0.3306,2.0248,XRPUSDT
1772370000000,0.6661,0.3339,1.9949,XRPUSDT
1772373600000,0.6714,0.3286,2.0432,XRPUSDT
1772377200000,0.6765,0.3235,2.0912,XRPUSDT
1772380800000,0.6788,0.3212,2.1133,XRPUSDT
1772384400000,0.6721,0.3279,2.0497,XRPUSDT
1772388000000,0.6689,0.3311,2.0202,XRPUSDT
1772391600000,0.6695,0.3305,2.0257,XRPUSDT
1772395200000,0.6703,0.3297,2.0331,XRPUSDT
1772398800000,0.6692,0.3308,2.0230,XRPUSDT
1772402400000,0.6733,0.3267,2.0609,XRPUSDT
1772406000000,0.6762,0.3238,2.0883,XRPUSDT
1772409600000,0.6768,0.3232,2.0941,XRPUSDT
1772413200000,0.6808,0.3192,2.1328,XRPUSDT
1772416800000,0.6817,0.3183,2.1417,XRPUSDT
1772420400000,0.6798,0.3202,2.1230,XRPUSDT
1772424000000,0.6787,0.3213,2.1124,XRPUSDT
1772427600000,0.6764,0.3236,2.0902,XRPUSDT
1772431200000,0.6758,0.3242,2.0845,XRPUSDT
1772434800000,0.6752,0.3248,2.0788,XRPUSDT
1772438400000,0.6749,0.3251,2.0760,XRPUSDT
1772442000000,0.6758,0.3242,2.0845,XRPUSDT
1772445600000,0.6749,0.3251,2.0760,XRPUSDT
1772449200000,0.6730,0.3270,2.0581,XRPUSDT
1772452800000,0.6746,0.3254,2.0731,XRPUSDT
1772456400000,0.6742,0.3258,2.0694,XRPUSDT
1772460000000,0.6729,0.3271,2.0572,XRPUSDT
1772463600000,0.6806,0.3194,2.1309,XRPUSDT
1772467200000,0.6695,0.3305,2.0257,XRPUSDT
1772470800000,0.6621,0.3379,1.9595,XRPUSDT
1772474400000,0.6618,0.3382,1.9568,XRPUSDT
1772478000000,0.6602,0.3398,1.9429,XRPUSDT
1772481600000,0.6522,0.3478,1.8752,XRPUSDT
1772485200000,0.6563,0.3437,1.9095,XRPUSDT
1772488800000,0.6590,0.3410,1.9326,XRPUSDT
1772492400000,0.6594,0.3406,1.9360,XRPUSDT
1772496000000,0.6585,0.3415,1.9283,XRPUSDT
1772499600000,0.6580,0.3420,1.9240,XRPUSDT
1772503200000,0.6580,0.3420,1.9240,XRPUSDT
1772506800000,0.6530,0.3470,1.8818,XRPUSDT
1772510400000,0.6564,0.3436,1.9104,XRPUSDT
1772514000000,0.6554,0.3446,1.9019,XRPUSDT
1772517600000,0.6590,0.3410,1.9326,XRPUSDT
1772521200000,0.6661,0.3339,1.9949,XRPUSDT
1772524800000,0.6672,0.3328,2.0048,XRPUSDT
1772528400000,0.6682,0.3318,2.0139,XRPUSDT
