timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772085600000,279039829.00000000,403854344.51170000,XRPUSDT
1772089200000,277963479.10000000,401320330.00356120,XRPUSDT
1772092800000,278447068.70000000,399181717.68832000,XRPUSDT
1772096400000,278793098.10000000,400251095.56309280,XRPUSDT
1772100000000,276915610.10000000,401859933.37712000,XRPUSDT
1772103600000,273482789.20000000,394364585.94011706,XRPUSDT
1772107200000,272791171.20000000,391837238.31168000,XRPUSDT
1772110800000,274032524.60000000,394990305.57762426,XRPUSDT
1772114400000,272707033.60000000,392479962.75712000,XRPUSDT
1772118000000,274294815.20000000,393667918.77504000,XRPUSDT
1772121600000,273960811.20000000,389135415.61686050,XRPUSDT
1772125200000,275733611.70000000,382663106.31726000,XRPUSDT
1772128800000,272860144.30000000,378591411.95097210,XRPUSDT
1772132400000,270180986.50000000,376297270.75774000,XRPUSDT
1772136000000,268525323.20000000,377667070.24969400,XRPUSDT
1772139600000,268524896.60000000,374028328.47414000,XRPUSDT
1772143200000,267750776.90000000,373244582.99860000,XRPUSDT
1772146800000,265907209.10000000,372754030.56520150,XRPUSDT
1772150400000,266751048.20000000,373878269.15712000,XRPUSDT
1772154000000,267825406.90000000,375168576.56261570,XRPUSDT
1772157600000,267157850.10000000,375276632.03547000,XRPUSDT
1772161200000,267890398.90000000,376661203.54567400,XRPUSDT
1772164800000,267976053.80000000,377066141.48682500,XRPUSDT
1772168400000,268247888.90000000,377451604.47119000,XRPUSDT
1772172000000,268730060.00000000,378835080.73841000,XRPUSDT
1772175600000,270010379.00000000,381173652.03430000,XRPUSDT
1772179200000,270978708.90000000,383760047.54418000,XRPUSDT
1772182800000,270371352.20000000,384170654.34098000,XRPUSDT
1772186400000,269560505.10000000,379068807.96045270,XRPUSDT
1772190000000,274791119.30000000,381438632.62942886,XRPUSDT
1772193600000,275407198.50000000,380557666.88730000,XRPUSDT
1772197200000,276438091.20000000,380599963.96416000,XRPUSDT
1772200800000,274695077.70000000,376350350.61376810,XRPUSDT
1772204400000,273727644.40000000,371900978.31439227,XRPUSDT
1772208000000,265113384.80000000,359485096.48792010,XRPUSDT
1772211600000,265759242.40000000,358801553.16424000,XRPUSDT
1772215200000,265984906.80000000,360853432.30601500,XRPUSDT
1772218800000,266962335.90000000,362049498.60779360,XRPUSDT
1772222400000,267386374.30000000,360927719.17938614,XRPUSDT
1772226000000,269206467.10000000,364014959.97188630,XRPUSDT
1772229600000,269446954.30000000,363780333.00043000,XRPUSDT
1772233200000,267836135.10000000,362435858.01732000,XRPUSDT
1772236800000,268843643.30000000,364312408.36738250,XRPUSDT
1772240400000,270054784.90000000,367613960.92752360,XRPUSDT
1772244000000,272050114.70000000,369412427.21626496,XRPUSDT
1772247600000,272665962.30000000,370962041.70915000,XRPUSDT
1772251200000,273287239.80000000,370058251.41318000,XRPUSDT
1772254800000,274319468.50000000,371126808.93365000,XRPUSDT
1772258400000,274826965.80000000,370749181.32634370,XRPUSDT
1772262000000,278636099.00000000,361410990.25221530,XRPUSDT
1772265600000,282439210.80000000,367758232.94466376,XRPUSDT
1772269200000,283359227.10000000,364277041.98429173,XRPUSDT
1772272800000,286544230.70000000,365991976.95995880,XRPUSDT
1772276400000,285345785.20000000,367726231.94271797,XRPUSDT
1772280000000,284398967.50000000,367471905.90675000,XRPUSDT
1772283600000,286211456.50000000,370586593.87620000,XRPUSDT
1772287200000,283727972.30000000,379773148.12067200,XRPUSDT
1772290800000,281951115.40000000,371431194.69063400,XRPUSDT
1772294400000,282826665.20000000,374222090.74631340,XRPUSDT
1772298000000,280167433.90000000,371308797.07893650,XRPUSDT
1772301600000,282892638.80000000,375511688.74312000,XRPUSDT
1772305200000,280661186.20000000,376595145.38572100,XRPUSDT
1772308800000,278431343.90000000,376834360.12782410,XRPUSDT
1772312400000,278188603.80000000,383801861.24351970,XRPUSDT
1772316000000,277331911.10000000,381803776.61991040,XRPUSDT
1772319600000,274934402.20000000,379354488.15556000,XRPUSDT
1772323200000,271763313.20000000,373833711.11674243,XRPUSDT
1772326800000,269720541.30000000,371707830.69787650,XRPUSDT
1772330400000,270264082.60000000,378964296.62172000,XRPUSDT
1772334000000,266831371.40000000,380074605.42216000,XRPUSDT
1772337600000,265688005.60000000,376798729.54192000,XRPUSDT
1772341200000,267377666.60000000,377831380.67246000,XRPUSDT
1772344800000,268569891.20000000,378361262.72256000,XRPUSDT
1772348400000,270317685.90000000,376829995.93786150,XRPUSDT
1772352000000,270511937.10000000,377932227.32241000,XRPUSDT
1772355600000,270875445.50000000,373723284.72673280,XRPUSDT
1772359200000,271876139.50000000,373122813.84980000,XRPUSDT
1772362800000,273749599.30000000,376679448.63680000,XRPUSDT
1772366400000,273915946.30000000,376735591.53894700,XRPUSDT
1772370000000,274098678.50000000,374747713.24520000,XRPUSDT
1772373600000,272580731.00000000,378205764.26250000,XRPUSDT
1772377200000,273384165.10000000,377263176.54178995,XRPUSDT
1772380800000,272385396.50000000,375207797.55220765,XRPUSDT
1772384400000,271110916.30000000,371259288.78122000,XRPUSDT
