open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1770364800000,623.13,625.86,616.86,619.71,65165.35,1770368399999,40465628.3304,131121,31954.92,19841778.6769
1770368400000,619.71,631.65,617.18,629.41,62845.15,1770371999999,39209858.1601,127104,32401.72,20207054.2463
1770372000000,629.42,636.5,627.19,633.65,48363.69,1770375599999,30568615.5526,100810,24316.05,15374570.4995
1770375600000,633.65,638.69,632.2,636.1,41040.46,1770379199999,26081996.9613,81584,22231.12,14129412.918
1770379200000,636.1,637.19,632.38,636.76,28108.68,1770382799999,17849608.8869,67583,14083.21,8943967.3589
1770382800000,636.76,647.99,636.14,643.95,74025.61,1770386399999,47608164.8748,136395,39282.55,25261506.7084
1770386400000,643.96,654.79,638.02,650.53,105488.28,1770389999999,68253855.8864,181843,54883.6,35522760.065
1770390000000,650.54,654.5,644.34,651.32,88087.09,1770393599999,57234104.0446,176605,44186.65,28714982.5563
1770393600000,651.28,663.16,649.07,659.39,98078.31,1770397199999,64528159.7945,177803,50675.61,33337372.3327
1770397200000,659.39,669.51,657.09,661.78,106415.71,1770400799999,70615788.9082,175410,52850.42,35083120.5889
1770400800000,661.79,662.55,648.7,653.92,85506.25,1770404399999,55967956.3602,163960,38483.04,25178861.221
1770404400000,653.92,660.08,652.09,658.63,39317.07,1770407999999,25790094.747,96798,22058.82,14471934.6645
1770408000000,658.62,665.18,655.76,657.0,45637.9,1770411599999,30127361.2354,102263,23601.46,15582470.7406
1770411600000,657.0,664.35,654.85,662.2,33970.82,1770415199999,22436681.4731,73780,17763.4,11732083.7073
1770415200000,662.21,667.39,660.38,665.28,30264.65,1770418799999,20103269.57,71165,15096.74,10026848.4465
1770418800000,665.27,668.49,656.85,657.0,39153.24,1770422399999,25912244.3549,90664,17012.83,11264167.7183
1770422400000,656.99,657.19,651.68,653.19,43660.28,1770425999999,28560940.8347,103916,20989.44,13732418.3871
1770426000000,653.18,658.15,650.0,657.69,26415.16,1770429599999,17268941.2337,63527,13785.08,9016935.5829
1770429600000,657.68,658.04,654.33,656.85,16659.02,1770433199999,10932623.0008,50122,7814.41,5128377.9526
1770433200000,656.84,661.75,656.48,659.12,23924.93,1770436799999,15777444.65,60537,12258.71,8083287.5653
1770436800000,659.12,663.91,654.03,656.74,38424.41,1770440399999,25328026.5518,86905,20119.2,13263628.5737
1770440400000,656.74,659.23,652.86,654.37,28599.55,1770443999999,18749890.1118,60985,13033.48,8546414.7064
1770444000000,654.37,656.12,642.8,643.21,43149.02,1770447599999,28030815.3836,74973,16181.79,10523255.8063
1770447600000,643.22,645.35,632.15,638.58,105484.93,1770451199999,67396855.4867,184763,50268.06,32116708.9958
1770451200000,638.57,641.61,636.19,640.18,35730.46,1770454799999,22846489.6445,83240,18638.0,11918418.3935
1770454800000,640.19,641.21,634.6,636.25,28405.32,1770458399999,18110982.0324,61472,12477.34,7955674.3195
1770458400000,636.24,637.39,631.0,634.34,33967.13,1770461999999,21522724.206,63887,14904.31,9446063.5629
1770462000000,634.34,636.63,633.55,635.74,18381.97,1770465599999,11673862.2346,48755,9898.59,6287131.2082
1770465600000,635.74,647.11,635.13,639.16,68461.76,1770469199999,43917688.179,125896,34919.13,22397247.9649
1770469200000,639.17,640.67,635.7,638.45,25140.6,1770472799999,16041162.579,59005,12148.14,7751312.5491
1770472800000,638.46,639.94,633.84,634.61,26655.18,1770476399999,16976010.3621,60124,12063.89,7683807.9891
1770476400000,634.61,644.19,633.82,642.29,34912.0,1770479999999,22345274.2648,82506,19071.45,12206486.1014
1770480000000,642.3,650.62,639.1,643.29,211653.55,1770483599999,136456416.1683,274645,107112.6,69080935.2159
1770483600000,643.3,648.8,640.1,647.54,23339.62,1770487199999,15043566.2185,64917,12562.68,8097895.7675
1770487200000,647.53,655.53,646.34,652.46,30742.0,1770490799999,20037439.1382,74308,17195.42,11208387.2945
1770490800000,652.47,653.62,649.8,650.37,17570.46,1770494399999,11449329.7024,48890,8100.26,5279055.2418
1770494400000,650.38,654.1,649.33,653.22,12917.1,1770497999999,8419820.6539,38266,6690.5,4361459.1597
1770498000000,653.22,653.99,649.28,650.2,12191.49,1770501599999,7939809.404,35655,5915.99,3852687.9281
1770501600000,650.2,652.0,647.97,649.12,9722.43,1770505199999,6318022.1136,30110,4091.91,2659418.3442
1770505200000,649.12,649.32,644.0,647.07,16874.17,1770508799999,10914025.2702,46310,7379.82,4773201.5601
1770508800000,647.08,648.79,645.66,647.32,16459.36,1770512399999,10651908.7168,45139,8588.79,5558532.593
1770512400000,647.32,650.8,647.07,649.52,13127.37,1770515999999,8523727.1327,38761,7168.92,4654761.9581
1770516000000,649.53,651.34,645.15,646.74,20085.97,1770519599999,13023954.2898,47275,10618.36,6885982.7286
1770519600000,646.74,647.52,642.46,642.83,17963.66,1770523199999,11595760.8422,40323,7865.85,5079653.6888
1770523200000,642.83,643.88,640.2,643.84,19714.88,1770526799999,12662708.4504,41629,10902.65,7003417.7471
1770526800000,643.84,644.91,641.83,642.94,12411.89,1770530399999,7983651.665,30190,6566.64,4224317.19
1770530400000,642.94,644.26,640.37,640.59,13524.56,1770533999999,8689751.0926,36169,6239.68,4009848.414
1770534000000,640.59,643.35,639.0,643.04,21003.27,1770537599999,13461909.8558,45855,10630.01,6814565.0461
1770537600000,643.04,650.91,640.6,650.03,44790.11,1770541199999,28966615.9948,95674,24904.89,16107411.1854
1770541200000,650.04,650.68,640.14,641.61,42081.1,1770544799999,27139776.1242,77570,18957.09,12229647.2901
1770544800000,641.61,645.01,637.27,639.47,33313.38,1770548399999,21340679.186,73008,14923.52,9561273.9318
1770548400000,639.47,646.07,639.12,645.52,29789.92,1770551999999,19173291.5331,69943,16147.72,10392483.1493
1770552000000,645.52,645.9,642.22,644.91,26142.82,1770555599999,16836228.9661,58909,12669.35,8159975.0881
1770555600000,644.91,646.4,641.3,644.76,31720.84,1770559199999,20411225.1508,67211,16162.66,10400104.461
1770559200000,644.77,647.05,643.17,646.66,26570.83,1770562799999,17136742.7761,56355,14054.46,9065388.4291
1770562800000,646.67,648.23,640.82,643.59,35435.58,1770566399999,22840165.1214,78957,18866.41,12158892.9278
1770566400000,643.58,645.15,631.95,634.71,40352.25,1770569999999,25766946.2389,91434,18773.79,11985567.9456
1770570000000,634.69,639.72,634.51,638.93,22684.07,1770573599999,14467937.3743,67549,12127.69,7734599.4776
