open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,price_volatility,volume_ma,price_change_pct,hl_range,true_range,atr,buy_pressure
2025-02-24,658.41,659.56,559.71,623.94,3093458.217,2025-03-02 23:59:59.999,1878767810.33289,11853228,1527711.123,928330531.4254099,0,,,,17.839595504814977,99.84999999999991,,49.38521925411866
2025-03-03,623.94,624.36,546.83,554.65,2069694.576,2025-03-09 23:59:59.999,1214231849.9439,9480175,1021875.833,600139397.2173,0,,,-11.105234477674141,14.178080939231567,77.52999999999997,,49.37326718877192
2025-03-10,554.65,622.8,507.0,602.2,2839856.787,2025-03-16 23:59:59.999,1620278882.91516,9857736,1458127.237,833577672.6571,0,,,8.57297394753449,22.840236686390526,115.79999999999995,,51.345097530088935
2025-03-17,602.21,643.72,602.04,623.79,2571586.017,2025-03-23 23:59:59.999,1612882168.98607,7145136,1341287.858,841572601.23158,0,,,3.5851876453005582,6.923128031360054,41.680000000000064,,52.15800090423342
2025-03-24,623.8,644.88,593.58,602.2,2595532.056,2025-03-30 23:59:59.999,1629806274.57696,6381421,1324725.496,832637050.5962,0,,,-3.4611006909376463,8.642474476902851,51.299999999999955,,51.03868753759673
2025-03-31,602.2,618.54,544.17,555.54,2323143.558,2025-04-06 23:59:59.999,1388686807.54069,6949836,1149159.026,687373413.31896,0,,,-7.7482563932248505,13.66668504327692,74.37,,49.465691521419096
2025-04-07,555.55,600.48,520.0,584.28,2157941.423,2025-04-13 23:59:59.999,1218100755.23149,7873147,1107025.839,625795665.14111,0,,,5.1733448536559035,15.47692307692308,80.48000000000002,,51.30008753717685
2025-04-14,584.29,596.08,576.0,592.77,1025382.93,2025-04-20 23:59:59.999,602770740.5949,3509734,532863.423,313303806.61207,0,,,1.4530704456767296,3.4861111111111183,20.08000000000004,,51.96726095293979
2025-04-21,592.77,619.99,592.53,603.46,1492478.486,2025-04-27 23:59:59.999,903188689.0706701,4693541,748842.252,453193475.52652,0,,,1.8033976078411618,4.63436450475082,27.460000000000036,,50.17440847720199
2025-04-28,603.46,610.75,584.7,586.03,1133473.892,2025-05-04 23:59:59.999,680709944.79888,3347678,550330.144,330624742.23552,0,,,-2.8883438836045605,4.455276210022226,26.049999999999955,,48.55252051981097
2025-05-05,586.02,678.95,583.55,651.15,2239399.07,2025-05-11 23:59:59.999,1413228859.09116,6160079,1175470.062,740537822.05559,0,,,11.11205910960189,16.34821352069233,95.40000000000009,,52.490423781412034
2025-05-12,651.15,693.0,634.39,651.53,2138334.116,2025-05-18 23:59:59.999,1404500190.23074,7158170,1047002.257,687946889.4743,0,,,0.0583582891806822,9.23879632402781,58.610000000000014,,48.96345473636918
2025-05-19,651.54,691.35,633.51,669.44,1919044.77,2025-05-25 23:59:59.999,1277790092.53693,5940986,986162.268,657134607.16785,0,,,2.7489140945160084,9.130084765828485,57.84000000000003,,51.38818454975389
2025-05-26,669.45,697.73,645.04,660.77,1488082.969,2025-06-01 23:59:59.999,1003616316.2864,5380093,742234.872,500733870.81563,0,,,-1.2951123326959912,8.168485675306966,52.690000000000055,,49.87859463903319
2025-06-02,660.77,673.43,625.44,652.0,1030682.656,2025-06-08 23:59:59.999,674669095.13418,4079962,513377.011,336237681.8808,0,,,-1.3272394327829673,7.672998209260664,47.989999999999895,,49.809415925594074
2025-06-09,652.0,674.8,639.0,648.19,1030963.98,2025-06-15 23:59:59.999,678519219.06845,4187178,534354.494,351895766.63181,0,,,-0.5843558282208505,5.60250391236306,35.799999999999955,,51.83056870716278
2025-06-16,648.19,659.46,601.25,615.81,1061619.48,2025-06-22 23:59:59.999,679066898.19167,4019869,530352.365,339500511.19004,0,,,-4.995448865301855,9.681496881496887,58.210000000000036,,49.95691723742673
2025-06-23,615.81,656.0,615.05,654.9,836025.716,2025-06-29 23:59:59.999,535043978.66523,3251532,454180.364,290634451.8631,0,,,6.347737126711173,6.6579952849361925,40.950000000000045,,54.32612362369006
2025-06-30,654.9,664.99,643.71,663.13,631389.462,2025-07-06 23:59:59.999,414758016.86197,2515284,335892.214,220680340.14398,0,,,1.2566804092227768,3.3058364791598653,21.279999999999973,,53.198894535873634
2025-07-07,663.13,697.24,656.77,692.0,996190.969,2025-07-13 23:59:59.999,676158362.24351,3699759,532864.521,361532723.35525,0,38.60620905883841,1733714.0565000002,4.353595825856171,6.161974511625078,40.47000000000003,56.19200000000001,53.490197922081336
2025-07-14,692.01,765.56,675.3,756.82,2088286.198,2025-07-20 23:59:59.999,1506748080.96494,7905792,1095376.225,790552843.9587901,0,48.65196573082823,1683455.45555,9.367052023121403,13.3659114467644,90.25999999999999,55.7125,52.45335749712214
2025-07-21,756.82,847.12,742.62,844.0,2580146.6691,2025-07-27 23:59:59.999,2015454644.2060957,9952715,1339353.4288,1047666822.6224952,0,65.01322573745648,1708978.060205,11.519251605401548,14.07179984379629,104.5,57.061000000000014,51.909972593425856
2025-07-28,844.0,861.1,730.01,751.21,2395541.2192,2025-08-03 23:59:59.999,1913805327.4831169,9933984,1176129.7308,941358228.2402569,0,68.24762844539767,1686762.2818149999,-10.994075829383887,17.95728825632526,131.09000000000003,57.82550000000001,49.09661839142859
2025-08-04,751.21,819.44,745.11,807.22,1263185.652,2025-08-10 23:59:59.999,984704064.68727,5551753,653848.916,509908574.48242,0,76.00667185915499,1621342.2635650001,7.4559710333994555,9.975708284682803,74.33000000000004,59.45800000000001,51.76190174142351
2025-08-11,807.22,869.4,792.0,855.38,2105058.1873,2025-08-17 23:59:59.999,1759755448.846579,8407939,1085707.1963,908390265.072459,0,85.93633471324785,1596818.57013,5.966155447090005,9.77272727272727,77.39999999999998,60.76300000000001,51.576113327895946
2025-08-18,855.38,900.71,818.57,876.51,2045207.8872,2025-08-24 23:59:59.999,1757899273.4882946,9111883,1053767.995,906352064.4302945,0,92.23562053099029,1582921.7865900001,2.4702471416212735,10.034572486164894,82.13999999999999,61.15150000000001,51.52375959407556
2025-08-25,876.51,881.36,829.59,857.65,1258916.016,2025-08-31 23:59:59.999,1082366297.50461,6960673,624388.462,536971224.89619,0,95.80139441216805,1537970.51624,-2.1517153255524724,6.240432020636698,51.76999999999998,59.71600000000001,49.59730864207228
2025-09-01,857.66,884.05,840.0,880.05,1044796.871,2025-09-07 23:59:59.999,893717462.95492,4486293,536391.202,459055614.89602,0,99.62794412872213,1538941.21329,2.6117880254182824,5.244047619047613,44.049999999999955,60.9145,51.33928104958883
2025-09-08,880.05,944.95,870.01,926.51,1466762.3156,2025-09-14 23:59:59.999,1326989651.8048892,5153550,782781.9636,708404263.5843393,0,105.92214119218339,1537655.40477,5.279245497414919,8.613694095470173,74.94000000000005,63.2885,53.3680171132425
