timestamp,open_interest,sum_open_interest_value
1770584400000,478128.36000000,307776874.51419910
1770588000000,477434.50000000,306553385.89744760
1770591600000,477462.27000000,307407403.49646600
1770595200000,477246.47000000,305472101.76315580
1770598800000,478730.24000000,306347046.31860500
1770602400000,480883.36000000,306212097.14720000
1770606000000,481219.41000000,308145004.18785560
1770609600000,482759.43000000,311433735.04726040
1770613200000,482663.51000000,310074254.67870057
1770616800000,483064.88000000,309959232.21568465
1770620400000,485284.62000000,308560744.02313054
1770624000000,486371.66000000,307318797.08760000
1770627600000,487049.98000000,304825100.48280000
1770631200000,490735.33000000,306748840.07640000
1770634800000,495213.16000000,306244034.46807840
1770638400000,495123.49000000,307741763.34480090
1770642000000,494250.32000000,309885065.63360000
1770645600000,492822.52000000,308250311.37725693
1770649200000,492444.91000000,309382529.92601600
1770652800000,490318.36000000,309390634.40138435
1770656400000,488378.02000000,310351071.33865726
1770660000000,488302.72000000,312640699.50720000
1770663600000,487238.29000000,311973804.70410000
1770667200000,487663.66000000,313297371.97879680
1770670800000,486216.00000000,311714339.99177380
1770674400000,486185.28000000,310444764.73343640
1770678000000,487713.79000000,311133254.72985065
1770681600000,488707.61000000,311017209.51121110
1770685200000,489108.43000000,311412321.80743027
1770688800000,489369.67000000,313557753.91279787
1770692400000,489635.52000000,312498299.66152570
1770696000000,490446.34000000,310548924.90117890
1770699600000,491135.85000000,313116926.01531190
1770703200000,492477.30000000,314011453.13853260
1770706800000,490651.72000000,308987920.67000000
1770710400000,490025.56000000,309514844.46280000
1770714000000,489847.35000000,310284006.91050000
1770717600000,491320.44000000,309438526.31640000
1770721200000,491642.25000000,308208494.56266433
1770724800000,490713.55000000,307282228.43360010
1770728400000,488040.16000000,304809224.82511670
1770732000000,488065.73000000,304865377.58720000
1770735600000,483851.90000000,298673551.90384810
1770739200000,483309.11000000,299207003.81880000
1770742800000,481862.32000000,299156267.96938413
1770746400000,481367.44000000,300118157.81680000
1770750000000,482335.12000000,296843488.05050164
1770753600000,482424.98000000,297609999.42961160
1770757200000,483575.09000000,298635590.90162710
1770760800000,484893.42000000,298585677.40596074
1770764400000,485704.60000000,300636576.26200000
1770768000000,486153.47000000,301147766.99150000
1770771600000,487547.56000000,303503231.57560000
1770775200000,488145.97000000,302923863.14320000
1770778800000,489239.21000000,303269601.49480000
1770782400000,491748.24000000,303585693.44640000
1770786000000,492909.06000000,300856902.95220000
1770789600000,493914.53000000,300436655.02440140
1770793200000,502856.58000000,301327157.56757060
1770796800000,503362.00000000,302240980.82220710
1770800400000,507231.94000000,302151595.67188704
1770804000000,508677.57000000,301888350.95233965
1770807600000,514095.20000000,302113185.23200000
1770811200000,514820.95000000,305118932.43650000
1770814800000,510703.66000000,302122071.18280000
1770818400000,510784.06000000,305244554.25600000
1770822000000,505296.20000000,301858896.91800000
1770825600000,502349.82000000,298174759.15920000
1770829200000,501593.13000000,297785809.41840000
1770832800000,502702.56000000,303270335.89503455
1770836400000,513362.69000000,313187176.28830000
1770840000000,511195.12000000,312067516.03326213
1770843600000,510360.06000000,311366188.43450844
1770847200000,505696.89000000,310371466.23750000
1770850800000,505521.32000000,307870323.29736680
1770854400000,503598.87000000,306344496.67034250
1770858000000,504511.85000000,308600087.47872984
1770861600000,504332.20000000,308524187.05323875
1770865200000,503815.34000000,308886847.64883650
1770868800000,506036.92000000,312073386.56567705
1770872400000,505202.13000000,310015185.03452950
1770876000000,504577.18000000,310660807.50596166
1770879600000,504961.73000000,310845914.52235310
1770883200000,505753.85000000,311231509.95203740
1770886800000,503662.58000000,307977859.67352223
1770890400000,504322.13000000,309890819.22110000
1770894000000,502937.24000000,311257132.71947450
1770897600000,501860.49000000,310065696.21032840
1770901200000,499472.23000000,307335252.56360000
1770904800000,498618.33000000,308205962.13960000
1770908400000,496051.40000000,303719064.42487080
1770912000000,496968.07000000,302654823.81687530
1770915600000,494748.91000000,298840777.16374785
1770919200000,495540.73000000,299004321.07470000
1770922800000,495628.50000000,300797017.99254940
1770926400000,493875.08000000,300290864.89240000
1770930000000,493827.00000000,298607310.36000000
1770933600000,494553.36000000,300315624.85823500
1770937200000,495071.99000000,303111535.12022280
1770940800000,497687.26000000,305731284.57553080
1770944400000,498126.59000000,304354656.94332397
1770948000000,498809.14000000,307020508.22572510
1770951600000,500439.95000000,305463541.08050000
1770955200000,502196.77000000,305737260.13227427
1770958800000,505134.10000000,306112013.67345960
1770962400000,510175.63000000,305557613.23158884
1770966000000,515885.79000000,308409000.52050980
1770969600000,518428.08000000,310066650.36720000
1770973200000,518295.23000000,312143024.71522140
1770976800000,520672.57000000,313479855.58269536
1770980400000,521852.51000000,313772271.86994980
1770984000000,519791.11000000,312643956.84280000
1770987600000,520878.21000000,311985672.15952176
1770991200000,518449.76000000,310292181.36000000
1770994800000,522312.02000000,314673356.84213270
1770998400000,517685.27000000,315877682.39616290
1771002000000,521474.26000000,321197335.53894030
1771005600000,517668.29000000,318831899.81100000
1771009200000,517033.00000000,319319307.13960344
1771012800000,516220.21000000,319131771.78779420
1771016400000,515239.95000000,318598530.79272014
1771020000000,518894.93000000,322327033.21448770
1771023600000,518123.06000000,321324378.12020000
1771027200000,516956.62000000,320058427.59632915
1771030800000,522297.92000000,325725721.44556980
1771034400000,521951.39000000,325747656.01735246
1771038000000,521018.25000000,323539307.92921470
1771041600000,520036.90000000,321236404.65480020
1771045200000,519288.17000000,320525537.24226403
1771048800000,519142.30000000,320134290.71800000
1771052400000,519366.60000000,321761184.32487774
1771056000000,521443.47000000,324509914.68510000
1771059600000,520309.52000000,326353740.22960000
1771063200000,519510.60000000,326787752.71800000
1771066800000,518581.51000000,325430640.78540000
1771070400000,519672.26000000,329201299.71908950
1771074000000,520480.38000000,326721148.93740000
1771077600000,520485.09000000,327925635.50756770
1771081200000,527591.77000000,335574745.30850000
1771084800000,525283.40000000,333503365.86405970
1771088400000,522595.07000000,330987365.65674020
1771092000000,522836.83000000,330558357.39920000
1771095600000,522362.75000000,330070574.47000000
1771099200000,522721.11000000,330804929.00728030
1771102800000,523072.07000000,330874468.59920000
1771106400000,521059.85000000,328901026.73593235
1771110000000,522516.41000000,330462590.01047460
1771113600000,523588.30000000,331355455.66360074
1771117200000,523175.01000000,330646606.32000000
1771120800000,523429.50000000,331297966.26724494
1771124400000,525954.13000000,331726225.65533870
1771128000000,526063.74000000,333351576.55858410
1771131600000,525901.69000000,334403446.81750400
1771135200000,525649.59000000,334644298.48170000
1771138800000,523512.36000000,333257498.12880000
1771142400000,524483.28000000,335626309.29333000
1771146000000,523338.63000000,330552055.97468170
1771149600000,524074.74000000,330539179.26540000
1771153200000,521182.69000000,328247031.92536730
1771156800000,520784.26000000,327717750.02222750
1771160400000,514250.59000000,318517378.14544260
1771164000000,516500.83000000,318990000.20411880
1771167600000,517286.04000000,321247430.79337960
1771171200000,516249.41000000,320854689.07188270
1771174800000,517858.80000000,321066162.66914713
1771178400000,514772.04000000,316011736.97897820
1771182000000,515613.53000000,315329367.16246570
1771185600000,514969.62000000,315052706.54027605
1771189200000,516707.33000000,317085210.00444895
1771192800000,514375.33000000,316840421.41381040
1771196400000,514165.71000000,316912778.62122000
1771200000000,513143.28000000,315624845.25207750
1771203600000,511757.39000000,315344903.71800000
1771207200000,511923.33000000,314755245.98385170
1771210800000,513014.18000000,314070707.34588623
1771214400000,513756.36000000,315081638.02440000
1771218000000,514315.97000000,317918983.72959930
1771221600000,513299.96000000,314242235.51200000
1771225200000,513647.22000000,314650606.64808005
1771228800000,513586.22000000,314910526.65520000
1771232400000,513939.09000000,315877243.49580000
1771236000000,514592.15000000,318223785.56000000
1771239600000,514820.68000000,318457776.23440000
1771243200000,513172.18000000,317484232.60060000
1771246800000,511757.14000000,321393719.06280000
1771250400000,504092.46000000,310546159.98300000
1771254000000,503417.53000000,308899741.55889360
1771257600000,501300.71000000,304429670.15496330
1771261200000,500935.40000000,306948166.35000000
1771264800000,500447.26000000,307954394.60564300
1771268400000,499784.74000000,307085490.50759310
1771272000000,499506.23000000,308005959.06498720
1771275600000,499811.00000000,310987402.31000000
1771279200000,500737.46000000,313646568.87893380
1771282800000,501509.84000000,314000325.92240000
1771286400000,501044.34000000,314257620.51406360
1771290000000,500502.07000000,313609592.04130000
1771293600000,499587.99000000,312029555.14037955
1771297200000,506558.34000000,318730308.19976590
1771300800000,506436.08000000,317582817.68955730
1771304400000,505201.76000000,316454419.88368330
1771308000000,502519.02000000,313135210.99473890
1771311600000,501463.22000000,313389439.33900000
1771315200000,501565.37000000,312441182.01630956
1771318800000,501126.10000000,310729872.00685010
1771322400000,501285.20000000,310610192.34189180
1771326000000,500315.59000000,308519338.06286680
1771329600000,501032.09000000,309843254.77690000
1771333200000,500873.23000000,310265410.61638206
1771336800000,500762.69000000,312430849.91790000
1771340400000,494752.21000000,302763924.01583827
1771344000000,495239.22000000,304672546.65722600
1771347600000,494912.53000000,306044010.30140000
1771351200000,493540.00000000,303472810.60000000
1771354800000,494417.12000000,307649631.15435300
1771358400000,496286.98000000,307796615.77468544
1771362000000,496047.35000000,307026519.61580807
1771365600000,495269.21000000,306474056.98815066
1771369200000,495606.99000000,306274445.03520770
1771372800000,495839.95000000,306285295.51450000
1771376400000,495335.99000000,305381688.59608245
1771380000000,494780.07000000,304092961.23327050
1771383600000,494884.09000000,305338534.68910000
1771387200000,495626.41000000,306708491.30030000
1771390800000,496820.91000000,306663000.25407110
1771394400000,497971.43000000,306770319.73720000
1771398000000,498679.56000000,307420988.35320000
1771401600000,499414.55000000,310066517.51300000
1771405200000,503821.72000000,314078945.69852203
1771408800000,502822.20000000,313213659.88708760
1771412400000,501573.11000000,310563152.59708100
1771416000000,498642.09000000,306331885.29599640
1771419600000,498996.73000000,307207336.82450000
1771423200000,494637.55000000,302124615.54000000
1771426800000,498841.23000000,305315774.82150000
1771430400000,496787.13000000,307119917.79475910
1771434000000,497876.03000000,306895763.65230000
1771437600000,499037.80000000,307601909.54200000
1771441200000,497969.17000000,304010341.71848160
1771444800000,502406.79000000,302891801.21683330
1771448400000,504187.08000000,304123141.34031576
1771452000000,505153.94000000,305097825.14180000
1771455600000,506687.63000000,306270328.99644930
1771459200000,507425.85000000,306718754.63025920
