timestamp,open_interest,sum_open_interest_value
1770584400000,81757.53100000,5788755658.35138300
1770588000000,81577.91600000,5765544241.75949300
1770591600000,81384.51000000,5779870931.04300000
1770595200000,80494.10100000,5660635723.44403600
1770598800000,79831.39400000,5625516965.69523800
1770602400000,79684.36100000,5604033771.97190000
1770606000000,79559.87700000,5616378353.04870000
1770609600000,79608.60800000,5676278531.20899000
1770613200000,79492.98300000,5641768537.87293200
1770616800000,79739.67700000,5662649370.41340000
1770620400000,79359.46400000,5604974336.10470100
1770624000000,79354.13300000,5586007225.92220000
1770627600000,79331.08100000,5540982482.85030000
1770631200000,79979.43400000,5565600855.24860000
1770634800000,80675.99700000,5542246624.37727900
1770638400000,80916.72100000,5573899776.05240000
1770642000000,80375.30000000,5554712870.41000000
1770645600000,81000.80900000,5553728624.73253000
1770649200000,81311.25400000,5630796208.37460000
1770652800000,81052.12200000,5636497933.47302400
1770656400000,80892.74700000,5666488391.70180000
1770660000000,80087.02600000,5651543687.63108350
1770663600000,80014.53900000,5631319235.91930000
1770667200000,80241.93300000,5690501114.17440000
1770670800000,80011.64100000,5657847486.19193700
1770674400000,78875.90700000,5551031860.97951000
1770678000000,78745.77800000,5538836260.27867100
1770681600000,78783.92400000,5523580303.60200000
1770685200000,79025.70300000,5517078704.61789600
1770688800000,79084.66800000,5570898990.71794900
1770692400000,79049.39500000,5539390890.22711800
1770696000000,78963.51500000,5485935590.16682600
1770699600000,79268.02200000,5532947569.61100000
1770703200000,79324.72300000,5506349444.46190000
1770706800000,79849.61700000,5499795869.03405700
1770710400000,80057.94500000,5514567379.07900000
1770714000000,80081.32400000,5533340680.62818000
1770717600000,80266.60700000,5547936584.78870700
1770721200000,80282.13200000,5530218606.39360000
1770724800000,81138.07900000,5557999028.16430700
1770728400000,81696.07800000,5601861053.84683300
1770732000000,81245.10900000,5604749897.01416200
1770735600000,80454.13700000,5505644600.63798000
1770739200000,79956.56200000,5537111853.34300000
1770742800000,80065.59500000,5562429107.67300000
1770746400000,79780.51900000,5576102162.78902500
1770750000000,79517.84800000,5476146780.04303400
1770753600000,79442.36700000,5484029113.13696800
1770757200000,79492.59300000,5462818101.01737100
1770760800000,79284.79900000,5440868254.72872200
1770764400000,79167.69500000,5436690851.35331600
1770768000000,79253.89700000,5453080233.86440000
1770771600000,79404.47300000,5491748340.28410000
1770775200000,79508.31200000,5481414340.91680000
1770778800000,79903.20300000,5484324134.63130000
1770782400000,80801.55000000,5506318586.61000000
1770786000000,81695.08300000,5517965141.98203500
1770789600000,81958.97000000,5521713113.33717400
1770793200000,82019.32800000,5476396446.17991500
1770796800000,82299.13500000,5514033815.08650000
1770800400000,82200.21500000,5503772935.47550000
1770804000000,82466.34000000,5512759376.12400000
1770807600000,82734.22100000,5502322101.82600000
1770811200000,82682.08800000,5541998458.04640000
1770814800000,82376.77500000,5526987341.85000000
1770818400000,82644.70700000,5572002893.54724100
1770822000000,80644.23600000,5368046643.04594000
1770825600000,81269.09100000,5403434558.59577300
1770829200000,81356.54400000,5370801066.08640000
1770832800000,82074.57200000,5457515198.93615700
1770836400000,81849.07300000,5503466189.26160000
1770840000000,81507.18200000,5506132649.11928800
1770843600000,81432.34400000,5497774164.98232000
1770847200000,81480.73400000,5522813038.96040000
1770850800000,81325.11300000,5480239124.70840000
1770854400000,80997.51900000,5432681793.87180000
1770858000000,80668.43800000,5440994230.18355800
1770861600000,80640.14800000,5456781726.90840000
1770865200000,80982.01800000,5458860163.94940000
1770868800000,81119.32600000,5480346254.74150850
1770872400000,81943.66400000,5489389662.62720000
1770876000000,81873.75500000,5494179266.15250000
1770879600000,81851.51700000,5488766286.37920000
1770883200000,82011.67000000,5511200394.02692300
1770886800000,81925.41100000,5497801326.14140000
1770890400000,81999.46600000,5536564966.91277000
1770894000000,81994.53800000,5574439778.75390200
1770897600000,81795.91500000,5571934758.47423000
1770901200000,82021.52600000,5563725162.39500000
1770904800000,81728.02300000,5584819069.28660000
1770908400000,81896.16200000,5539661138.08500000
1770912000000,81006.74600000,5435852381.56020000
1770915600000,80673.19700000,5310313192.52500000
1770919200000,80811.11500000,5282456792.42150300
1770922800000,80754.71400000,5294230597.01160000
1770926400000,80295.01100000,5279459132.64353100
1770930000000,80335.96700000,5252212884.12270000
1770933600000,80025.82200000,5266859857.74509000
1770937200000,79817.74200000,5288947074.59760000
1770940800000,79782.23100000,5285030284.57920000
1770944400000,79831.88600000,5260212698.42309950
1770948000000,79413.37900000,5274501630.43570000
1770951600000,79417.10700000,5291497640.46238400
1770955200000,79348.72100000,5278237246.55950000
1770958800000,79332.96200000,5259767447.30380000
1770962400000,79367.64200000,5250328253.58400000
1770966000000,79499.51600000,5273694906.68708200
1770969600000,79733.69000000,5277139891.25164400
1770973200000,79772.80500000,5318923568.89950000
1770976800000,79837.91600000,5344425803.05483300
1770980400000,79721.20900000,5336543425.32702600
1770984000000,80072.09500000,5375864299.69100000
1770987600000,80024.51500000,5366090494.29956500
1770991200000,79954.16900000,5375877283.17777600
