timestamp,open_interest,sum_open_interest_value
1770584400000,9266723.26000000,804815233.72094570
1770588000000,9276311.07000000,803078491.24447880
1770591600000,9242815.72000000,804679536.58320000
1770595200000,9282111.04000000,806880773.13645400
1770598800000,9282194.34000000,807643729.52340000
1770602400000,9326562.69000000,805384151.79000370
1770606000000,9162848.04000000,796801265.55840000
1770609600000,9219112.66000000,808317628.99017060
1770613200000,9196126.24000000,800614750.45440000
1770616800000,9190640.51000000,801398723.14699830
1770620400000,9293112.50000000,802739057.75000000
1770624000000,9380223.52000000,801446297.54880000
1770627600000,9336802.69000000,789333299.41260000
1770631200000,9379007.67000000,790368976.35090000
1770634800000,9332750.47000000,776407700.46824780
1770638400000,9336026.90000000,778811363.99800000
1770642000000,9370609.02000000,787199220.91120460
1770645600000,9373565.60000000,784848647.68800000
1770649200000,9366377.49000000,795486440.22570000
1770652800000,9359307.17000000,798004165.37316760
1770656400000,9263292.68000000,797158879.10380290
1770660000000,9250229.75000000,811748373.41369400
1770663600000,9176992.58000000,802418404.88711330
1770667200000,9238113.09000000,812122521.74190000
1770670800000,9209657.70000000,808199930.41072380
1770674400000,9175881.89000000,801004810.77244760
1770678000000,9180927.71000000,799325667.42782100
1770681600000,9228631.79000000,800306948.82880000
1770685200000,9278799.08000000,801735979.65490260
1770688800000,9284414.45000000,809786628.32900000
1770692400000,9301029.00000000,805678196.39268340
1770696000000,9268318.16000000,795206077.58262260
1770699600000,9256574.60000000,800652489.76034270
1770703200000,9257946.04000000,795257564.83600000
1770706800000,9255081.15000000,782517111.23250000
1770710400000,9253198.72000000,782543676.89144850
1770714000000,9191738.00000000,777588575.46409630
1770717600000,9222883.38000000,779443150.01111670
1770721200000,9245226.89000000,778101937.32641220
1770724800000,9225661.84000000,773110462.19200000
1770728400000,9263267.91000000,777205846.49884430
1770732000000,9238997.71000000,781619206.26600000
1770735600000,9222324.24000000,771777471.76924060
1770739200000,9145391.05000000,770407742.05200000
1770742800000,9152367.31000000,772551324.63710000
1770746400000,9128158.03000000,774706772.00610000
1770750000000,9127477.52000000,756667886.40800000
1770753600000,9118083.97000000,757228874.26096830
1770757200000,9143647.66000000,755258533.52557180
1770760800000,9165034.29000000,755460648.34628240
1770764400000,9164373.31000000,756540066.20626830
1770768000000,9234554.88000000,766098672.84480000
1770771600000,9210703.24000000,768367215.36120820
1770775200000,9216305.84000000,770845294.48359780
1770778800000,9209146.49000000,768871640.45010000
1770782400000,9282267.72000000,773120078.39880000
1770786000000,9354141.52000000,766174735.68168720
1770789600000,9411059.20000000,770284065.90727950
1770793200000,9471748.62000000,765564976.23789270
1770796800000,9489473.19000000,768267749.46240000
1770800400000,9564786.42000000,775130291.47680000
1770804000000,9617527.25000000,776711500.71000000
1770807600000,9648579.32000000,778350893.74440000
1770811200000,9582091.72000000,778230238.89193650
1770814800000,9570344.07000000,776537717.83980000
1770818400000,9545180.37000000,778982169.99570000
1770822000000,9465242.62000000,756329228.14121990
1770825600000,9468598.10000000,754252923.42628260
1770829200000,9464795.76000000,744784778.35440000
1770832800000,9559176.14000000,754814890.19883320
1770836400000,9655945.76000000,770105502.60124520
1770840000000,9714346.11000000,773912730.62486700
1770843600000,9735633.12000000,774569741.98309860
1770847200000,9755660.63000000,781428416.46300000
1770850800000,9712752.53000000,771581060.98320000
1770854400000,9653306.27000000,765314121.08560000
1770858000000,9688722.69000000,774512875.61974320
1770861600000,9679970.86000000,777979258.01820000
1770865200000,9693819.89000000,778157696.82263860
1770868800000,9692076.01000000,781005832.27644920
1770872400000,9703048.84000000,778774880.53887700
1770876000000,9727193.39000000,783330883.69670000
1770879600000,9704003.46000000,780796250.62784580
1770883200000,9706011.12000000,783839551.72246500
1770886800000,9702046.94000000,782951405.32691860
1770890400000,9683139.73000000,791597671.93702590
1770894000000,9698555.33000000,796511057.25207000
1770897600000,9726405.98000000,796273593.78578960
1770901200000,9721096.94000000,787794235.79314420
1770904800000,9728784.54000000,796884741.67140000
1770908400000,9804276.13000000,795449176.48789420
1770912000000,9778437.20000000,782924217.48915020
1770915600000,9763077.86000000,764156104.10220000
1770919200000,9678817.13000000,753592701.74180000
1770922800000,9727694.78000000,754471870.89288600
1770926400000,9738285.16000000,755423172.22048590
1770930000000,9775883.70000000,751224146.68879890
1770933600000,9756373.77000000,754070128.68330000
1770937200000,9832851.67000000,767165554.94991450
1770940800000,9840271.83000000,771182103.31710000
1770944400000,9840931.66000000,767462678.74392600
1770948000000,9837563.49000000,772740612.13950000
