timestamp,open_interest,sum_open_interest_value
1770584400000,261315083.60000000,375300723.06632000
1770588000000,261052397.20000000,372495665.56468000
1770591600000,260534889.20000000,373677826.25824230
1770595200000,261266830.60000000,373671802.82579480
1770598800000,261021138.40000000,373794219.73651594
1770602400000,262114615.30000000,373032556.17511670
1770606000000,262132478.10000000,377863967.18115000
1770609600000,262811483.60000000,381547669.84525245
1770613200000,262427398.40000000,379791877.41771567
1770616800000,262079872.00000000,380238839.12947460
1770620400000,259604124.90000000,372481465.16982570
1770624000000,263005882.70000000,374651879.90615000
1770627600000,268848258.60000000,378135075.72090000
1770631200000,273272172.10000000,382089151.03022000
1770634800000,271363857.70000000,375107305.24956214
1770638400000,270092725.70000000,376158139.08239000
1770642000000,269732935.30000000,379649106.43475000
1770645600000,269290621.10000000,375699538.97593343
1770649200000,264777062.20000000,378738759.33197750
1770652800000,264515381.70000000,382295780.67833227
1770656400000,261738318.60000000,379753728.93374160
1770660000000,259666638.80000000,376442652.42793864
1770663600000,260567722.90000000,375921053.82783000
1770667200000,262047290.10000000,380429123.99829656
1770670800000,262650431.40000000,381814932.12618000
1770674400000,262211893.20000000,380327894.07629920
1770678000000,262678235.30000000,379198688.65334463
1770681600000,264101474.70000000,379328948.11161000
1770685200000,267165349.60000000,383916607.37520000
1770688800000,265669753.20000000,384530400.78168000
1770692400000,265866423.70000000,384549195.23968000
1770696000000,264342311.40000000,379172611.47216000
1770699600000,266705875.10000000,385843389.50717000
1770703200000,267521977.90000000,385535954.42586124
1770706800000,266269718.30000000,377894880.91147953
1770710400000,267695863.50000000,380449361.20620000
1770714000000,265893153.60000000,379828369.91760000
1770717600000,269392428.20000000,382564187.28682000
1770721200000,271272672.80000000,383843426.26803255
1770724800000,271974388.20000000,382703592.84225420
1770728400000,274578483.10000000,386614464.23502505
1770732000000,275881686.20000000,390041527.94956000
1770735600000,278082722.30000000,389788551.84791000
1770739200000,278873149.00000000,392067760.17910000
1770742800000,277691679.10000000,392989264.26232000
1770746400000,277564444.40000000,395168499.49228000
1770750000000,278533280.30000000,390255984.40242445
1770753600000,279164768.10000000,390774842.38638000
1770757200000,280121033.20000000,390970071.86061990
1770760800000,280148157.40000000,390582561.04708000
