# BNBUSDT Strategy Configuration
# Currency Pair: BNBUSDT (Binance Coin/USDT)
# Account: $1000 Binance Futures with 5x Leverage
# Strategy: Extreme Selectivity with Trend and Volume Filters

parameter_category,parameter_name,parameter_value,description,notes
ACCOUNT,initial_balance,1000,Starting account balance in USD,
ACCOUNT,leverage,5,Binance Futures leverage multiplier,
ACCOUNT,risk_per_trade,0.03,Risk percentage per trade (3%),
ACCOUNT,max_positions,1,Maximum 1 position at a time (very selective),
ACCOUNT,taker_fee,0.0005,Binance taker fee (0.05%),
ACCOUNT,maker_fee,0.0002,Binance maker fee (0.02%),
ACCOUNT,funding_fee,0.0001,Approximate funding fee per 8h period,

STRATEGY,name,BNB_Extreme_Selectivity,Strategy identifier,
STRATEGY,type,Trend_Momentum,Entry only on strong trend with volume,
STRATEGY,timeframe_primary,1h,Primary analysis timeframe,
STRATEGY,timeframe_trend,1d,Higher timeframe for trend direction,
STRATEGY,trade_direction,LONG,Only take long positions,

ENTRY,method,Trend_plus_volume,Require strong trend + volume spike,
ENTRY,min_trend_pct,5.0,Minimum 5% trend over 10 days,
ENTRY,trend_lookback_days,10,Days to calculate trend strength,
ENTRY,volume_spike_threshold,1.5,Require 1.5x average volume,
ENTRY,volume_lookback_hours,120,Hours to calculate average volume,
ENTRY,price_action_confirmation,true,Require bullish candle pattern,

STOP_LOSS,method,ATR_based,Stop based on Average True Range,
STOP_LOSS,atr_multiplier,3.0,ATR multiplier for stop distance (3x ATR),
STOP_LOSS,min_stop_pct,0.75,Minimum stop distance 0.75%,
STOP_LOSS,max_stop_pct,4.0,Maximum stop distance 4%,
STOP_LOSS,structure_buffer,0.25,Buffer below recent swing low,

TAKE_PROFIT,method,ATR_based,Target based on ATR multiple,
TAKE_PROFIT,atr_multiplier,6.0,ATR multiplier for target (6x ATR),
TAKE_PROFIT,min_rr_ratio,2.0,Minimum risk:reward ratio 1:2,
TAKE_PROFIT,partial_exit,true,Enable partial profit taking,
TAKE_PROFIT,partial_pct,0.5,Close 50% at first target,

POSITION_SIZING,method,Risk_based,Size based on risk amount,
POSITION_SIZING,fixed_risk_usd,30,Fixed $30 risk per trade (3% of $1000),
POSITION_SIZING,max_position_pct,0.5,Maximum 50% of account in one trade,
POSITION_SIZING,scaling,none,No position scaling (all-in on confirmation),

FILTERS,rsi_period,14,RSI calculation period,
FILTERS,rsi_long_max,75,Maximum RSI for long entry,
FILTERS,rsi_long_min,40,Minimum RSI for long entry,
FILTERS,macd_confirmation,true,Require MACD above signal,
FILTERS,min_candles_above_ema,3,Price above EMA for at least 3 candles,
FILTERS,max_spread_pct,0.1,Maximum acceptable spread 0.1%,

EXIT,time_stop_hours,24,Maximum hold time 24 hours,
EXIT,trailing_stop,false,No trailing stop for BNB,
EXIT,breakeven_trigger,1.0,Move to breakeven at 1:1 R:R,
EXIT,close_on_trend_break,true,Close if trend breaks below threshold,

BACKTEST_RESULTS,total_trades,0,Number of trades in backtest period,
BACKTEST_RESULTS,winning_trades,0,Number of profitable trades,
BACKTEST_RESULTS,losing_trades,0,Number of losing trades,
BACKTEST_RESULTS,win_rate,0.0,Win percentage,
BACKTEST_RESULTS,total_pnl_usd,0.00,Total profit/loss in USD,
BACKTEST_RESULTS,total_pnl_pct,0.00,Total profit/loss percentage,
BACKTEST_RESULTS,profit_factor,0.00,Gross profit / gross loss,
BACKTEST_RESULTS,max_drawdown_pct,0.0,Maximum drawdown percentage,
BACKTEST_RESULTS,sharpe_ratio,0.00,Risk-adjusted return metric,
BACKTEST_RESULTS,average_trade_pnl,0.00,Average P&L per trade,
BACKTEST_RESULTS,largest_win_usd,0.00,Largest single winning trade,
BACKTEST_RESULTS,largest_loss_usd,0.00,Largest single losing trade,

OPTIMIZATION_NEEDED,issue,no_trades,Filters too strict - no trades triggered,
OPTIMIZATION_NEEDED,issue,insufficient_data,Need more historical data for BNB,
OPTIMIZATION_NEEDED,recommended_fix,Relax_filters,Reduce trend requirement to 3%,
OPTIMIZATION_NEEDED,recommended_fix,Reduce_volume,Lower volume threshold to 1.2x,
OPTIMIZATION_NEEDED,recommended_fix,Extend_lookback,Use more historical data,
OPTIMIZATION_NEEDED,status,NEEDS_TESTING,Strategy not yet validated with trades,
