# BTCUSDT Strategy Configuration
# Currency Pair: BTCUSDT (Bitcoin/USDT)
# Account: $1000 Binance Futures with 5x Leverage
# Strategy: Fibonacci Pullback with Trend Confirmation

parameter_category,parameter_name,parameter_value,description,notes
ACCOUNT,initial_balance,1000,Starting account balance in USD,
ACCOUNT,leverage,5,Binance Futures leverage multiplier,
ACCOUNT,risk_per_trade,0.03,Risk percentage per trade (3%),
ACCOUNT,max_positions,3,Maximum concurrent positions,
ACCOUNT,taker_fee,0.0005,Binance taker fee (0.05%),
ACCOUNT,maker_fee,0.0002,Binance maker fee (0.02%),
ACCOUNT,funding_fee,0.0001,Approximate funding fee per 8h period,

STRATEGY,name,BTC_Trend_Following,Strategy identifier,
STRATEGY,type,Fibonacci_Pullback,Entry method based on Fibonacci retracements,
STRATEGY,timeframe_primary,1h,Primary analysis timeframe,
STRATEGY,timeframe_trend,1d,Higher timeframe for trend direction,
STRATEGY,trade_direction,LONG,Only take long positions in uptrend,

ENTRY,fib_levels,"0.618,0.5,0.382",Fibonacci retracement levels to monitor,
ENTRY,fib_tolerance,0.01,Price must be within 1% of fib level,
ENTRY,trend_confirmation,true,Require higher timeframe uptrend,
ENTRY,min_trend_strength,0.05,Minimum 5% trend over 10 days,
ENTRY,volume_confirmation,true,Require above-average volume,
ENTRY,volume_threshold,0.8,Minimum 80% of average volume,

STOP_LOSS,method,ATR_based,Stop based on Average True Range,
STOP_LOSS,atr_multiplier,3.0,ATR multiplier for stop distance (3x ATR),
STOP_LOSS,min_stop_pct,0.75,Minimum stop distance 0.75%,
STOP_LOSS,max_stop_pct,3.0,Maximum stop distance 3%,
STOP_LOSS,structure_buffer,0.25,Buffer below swing low (0.25x ATR),

TAKE_PROFIT,method,Fibonacci_extension,Target based on Fibonacci levels,
TAKE_PROFIT,atr_multiplier,6.0,ATR multiplier for target distance (6x ATR),
TAKE_PROFIT,min_rr_ratio,2.0,Minimum risk:reward ratio 1:2,
TAKE_PROFIT,partial_exit,true,Enable partial profit taking,
TAKE_PROFIT,partial_pct,0.5,Close 50% at first target,

POSITION_SIZING,method,Risk_based,Size based on risk amount,
POSITION_SIZING,fixed_risk_usd,30,Fixed $30 risk per trade (3% of $1000),
POSITION_SIZING,max_position_pct,0.6,Maximum 60% of account in one trade,
POSITION_SIZING,scaling,none,No position scaling (all-in),

FILTERS,rsi_period,14,RSI calculation period,
FILTERS,rsi_long_max,70,Maximum RSI for long entry (avoid overbought),
FILTERS,rsi_long_min,30,Minimum RSI for long entry (avoid oversold),
FILTERS,avoid_news,true,Avoid trading during high-impact news,
FILTERS,max_spread_pct,0.1,Maximum acceptable spread 0.1%,

EXIT,time_stop_hours,24,Maximum hold time 24 hours,
EXIT,trailing_stop,false,Disable trailing stop for BTC,
EXIT,breakeven_trigger,1.0,Move to breakeven at 1:1 R:R,
EXIT,close_on_reversal,true,Close if trend reverses on daily,

BACKTEST_RESULTS,total_trades,345,Number of trades in backtest period,
BACKTEST_RESULTS,winning_trades,124,Number of profitable trades,
BACKTEST_RESULTS,losing_trades,221,Number of losing trades,
BACKTEST_RESULTS,win_rate,35.9,Win percentage,
BACKTEST_RESULTS,total_pnl_usd,-1000.00,Total profit/loss in USD,
BACKTEST_RESULTS,total_pnl_pct,-100.00,Total profit/loss percentage,
BACKTEST_RESULTS,profit_factor,0.70,Gross profit / gross loss,
BACKTEST_RESULTS,max_drawdown_pct,246.4,Maximum drawdown percentage,
BACKTEST_RESULTS,sharpe_ratio,-1.92,Risk-adjusted return metric,
BACKTEST_RESULTS,average_trade_pnl,-2.90,Average P&L per trade,
BACKTEST_RESULTS,largest_win_usd,45.50,Largest single winning trade,
BACKTEST_RESULTS,largest_loss_usd,-38.20,Largest single losing trade,

OPTIMIZATION_NEEDED,issue,overtrading,Too many trades in choppy conditions,
OPTIMIZATION_NEEDED,recommended_fix,Add_trend_filter,Require stronger trend confirmation,
OPTIMIZATION_NEEDED,recommended_fix,Reduce_frequency,Limit to max 2 trades per day,
OPTIMIZATION_NEEDED,recommended_fix,Widen_stops,Increase ATR multiplier to 4.0,
OPTIMIZATION_NEEDED,status,REQUIRES_REVISION,Strategy needs significant changes,
