trade_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,position_size_usd,leverage,fees_usd,gross_pnl_usd,net_pnl_usd,exit_reason,trade_duration_hours
1,BTCUSDT,LONG,2026-01-15 08:00:00,86450.25,2026-01-15 14:30:00,87200.50,85800.00,88000.00,450.00,5,0.90,38.75,37.85,TAKE_PROFIT,6.5
2,BTCUSDT,LONG,2026-01-16 12:00:00,86800.75,2026-01-16 18:00:00,86150.25,86200.00,87500.00,420.00,5,0.84,-31.50,-32.34,STOP_LOSS,6.0
3,BTCUSDT,LONG,2026-01-18 04:00:00,85500.50,2026-01-18 16:00:00,86900.75,84800.00,87200.00,480.00,5,0.96,78.50,77.54,TAKE_PROFIT,12.0
4,BTCUSDT,LONG,2026-01-20 10:00:00,87250.25,2026-01-20 22:00:00,86500.00,86600.00,88500.00,400.00,5,0.80,-34.50,-35.30,STOP_LOSS,12.0
5,BTCUSDT,LONG,2026-01-22 06:00:00,86800.00,2026-01-22 14:00:00,87550.50,86200.00,88200.00,460.00,5,0.92,39.75,38.83,TAKE_PROFIT,8.0
6,BTCUSDT,LONG,2026-01-24 02:00:00,87500.75,2026-01-24 10:00:00,86800.25,86900.00,89000.00,440.00,5,0.88,-35.25,-36.13,STOP_LOSS,8.0
7,BTCUSDT,LONG,2026-01-26 14:00:00,86200.50,2026-01-27 02:00:00,87800.75,85500.00,88000.00,500.00,5,1.00,92.75,91.75,TAKE_PROFIT,12.0
8,BTCUSDT,LONG,2026-01-28 08:00:00,87850.25,2026-01-28 16:00:00,87100.00,87200.00,89500.00,430.00,5,0.86,-36.00,-36.86,STOP_LOSS,8.0
9,BTCUSDT,LONG,2026-01-30 00:00:00,87200.75,2026-01-30 12:00:00,88500.50,86500.00,89000.00,470.00,5,0.94,69.75,68.81,TAKE_PROFIT,12.0
10,BTCUSDT,LONG,2026-02-01 10:00:00,88500.25,2026-02-01 18:00:00,87750.00,87800.00,90000.00,410.00,5,0.82,-34.50,-35.32,STOP_LOSS,8.0
