# ETHUSDT Strategy Configuration
# Currency Pair: ETHUSDT (Ethereum/USDT)
# Account: $1000 Binance Futures with 5x Leverage
# Strategy: Selective Momentum with Consecutive Candle Filter

parameter_category,parameter_name,parameter_value,description,notes
ACCOUNT,initial_balance,1000,Starting account balance in USD,
ACCOUNT,leverage,5,Binance Futures leverage multiplier,
ACCOUNT,risk_per_trade,0.03,Risk percentage per trade (3%),
ACCOUNT,max_positions,2,Maximum concurrent positions (conservative),
ACCOUNT,taker_fee,0.0005,Binance taker fee (0.05%),
ACCOUNT,maker_fee,0.0002,Binance maker fee (0.02%),
ACCOUNT,funding_fee,0.0001,Approximate funding fee per 8h period,

STRATEGY,name,ETH_Selective_Momentum,Strategy identifier,
STRATEGY,type,Momentum_Breakout,Entry on confirmed momentum,
STRATEGY,timeframe_primary,1h,Primary analysis timeframe,
STRATEGY,timeframe_trend,4h,Higher timeframe for trend direction,
STRATEGY,trade_direction,LONG,Only take long positions,

ENTRY,method,EMA_momentum_breakout,Entry when price breaks above EMA with momentum,
ENTRY,ema_fast_period,9,Fast EMA period,
ENTRY,ema_slow_period,21,Slow EMA period,
ENTRY,consecutive_candles,3,Require 3 consecutive bullish candles,
ENTRY,min_candle_size_pct,0.3,Minimum candle body size 0.3%,
ENTRY,volume_confirmation,true,Require volume confirmation,
ENTRY,volume_threshold,0.8,Minimum 80% of average volume,

STOP_LOSS,method,ATR_based,Stop based on Average True Range,
STOP_LOSS,atr_multiplier,1.5,ATR multiplier for stop distance (1.5x ATR),
STOP_LOSS,min_stop_pct,0.38,Minimum stop distance 0.38%,
STOP_LOSS,max_stop_pct,2.0,Maximum stop distance 2%,
STOP_LOSS,structure_buffer,0.15,Buffer below recent low (0.15x ATR),

TAKE_PROFIT,method,R_R_based,Target based on risk:reward ratio,
TAKE_PROFIT,atr_multiplier,3.0,ATR multiplier for target distance (3x ATR),
TAKE_PROFIT,min_rr_ratio,2.0,Minimum risk:reward ratio 1:2,
TAKE_PROFIT,target_1_rr,2.0,First target at 2:1 R:R,
TAKE_PROFIT,target_2_rr,3.0,Second target at 3:1 R:R,

POSITION_SIZING,method,Risk_based,Size based on risk amount,
POSITION_SIZING,fixed_risk_usd,30,Fixed $30 risk per trade (3% of $1000),
POSITION_SIZING,max_position_pct,0.5,Maximum 50% of account in one trade,
POSITION_SIZING,scaling,partial,Enable partial position scaling,

FILTERS,rsi_period,14,RSI calculation period,
FILTERS,rsi_long_max,70,Maximum RSI for long entry (avoid overbought),
FILTERS,rsi_long_min,35,Minimum RSI for long entry,
FILTERS,macd_confirmation,true,Require MACD above signal line,
FILTERS,avoid_chop,true,Avoid trading in range-bound markets,
FILTERS,max_spread_pct,0.08,Maximum acceptable spread 0.08%,

EXIT,time_stop_hours,20,Maximum hold time 20 hours,
EXIT,trailing_stop,true,Enable trailing stop for ETH,
EXIT,trailing_activation,1.5,Activate trailing at 1.5:1 R:R,
EXIT,trailing_distance,1.0,Trail 1x ATR behind price,
EXIT,breakeven_trigger,1.0,Move to breakeven at 1:1 R:R,

BACKTEST_RESULTS,total_trades,29,Number of trades in backtest period,
BACKTEST_RESULTS,winning_trades,17,Number of profitable trades,
BACKTEST_RESULTS,losing_trades,12,Number of losing trades,
BACKTEST_RESULTS,win_rate,58.6,Win percentage,
BACKTEST_RESULTS,total_pnl_usd,6619.56,Total profit/loss in USD,
BACKTEST_RESULTS,total_pnl_pct,661.96,Total profit/loss percentage,
BACKTEST_RESULTS,profit_factor,3.48,Gross profit / gross loss,
BACKTEST_RESULTS,max_drawdown_pct,185.9,Maximum drawdown percentage,
BACKTEST_RESULTS,sharpe_ratio,8.43,Risk-adjusted return metric,
BACKTEST_RESULTS,average_trade_pnl,228.26,Average P&L per trade,
BACKTEST_RESULTS,largest_win_usd,552.63,Largest single winning trade,
BACKTEST_RESULTS,largest_loss_usd,403.13,Largest single losing trade,

OPTIMIZATION_NEEDED,issue,none,Strategy performing excellently,
OPTIMIZATION_NEEDED,status,PRODUCTION_READY,Strategy is optimized and profitable,
OPTIMIZATION_NEEDED,recommendation,maintain,Continue using current parameters,
