trade_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,position_size_usd,leverage,fees_usd,gross_pnl_usd,net_pnl_usd,exit_reason,trade_duration_hours
1,ETHUSDT,LONG,2026-01-15 08:00:00,2250.50,2026-01-15 16:00:00,2315.75,2220.00,2350.00,600.00,5,1.20,174.00,172.80,TAKE_PROFIT,8.0
2,ETHUSDT,LONG,2026-01-18 12:00:00,2280.25,2026-01-18 20:00:00,2245.50,2250.00,2360.00,580.00,5,1.16,-86.25,-87.41,STOP_LOSS,8.0
3,ETHUSDT,LONG,2026-01-22 04:00:00,2200.75,2026-01-22 14:00:00,2285.50,2165.00,2320.00,620.00,5,1.24,235.50,234.26,TAKE_PROFIT,10.0
4,ETHUSDT,LONG,2026-01-25 10:00:00,2300.50,2026-01-25 18:00:00,2265.25,2270.00,2380.00,590.00,5,1.18,-82.50,-83.68,STOP_LOSS,8.0
5,ETHUSDT,LONG,2026-01-28 06:00:00,2225.75,2026-01-28 16:00:00,2310.25,2190.00,2335.00,610.00,5,1.22,231.00,229.78,TAKE_PROFIT,10.0
6,ETHUSDT,LONG,2026-02-02 08:00:00,2350.25,2026-02-02 18:00:00,2425.50,2310.00,2460.00,640.00,5,1.28,204.00,202.72,TAKE_PROFIT,10.0
7,ETHUSDT,LONG,2026-02-07 14:00:00,2400.50,2026-02-07 22:00:00,2365.75,2375.00,2490.00,600.00,5,1.20,-83.25,-84.45,STOP_LOSS,8.0
8,ETHUSDT,LONG,2026-02-13 02:00:00,2325.25,2026-02-13 12:00:00,2410.75,2285.00,2395.00,630.00,5,1.26,232.50,231.24,TAKE_PROFIT,10.0
9,ETHUSDT,LONG,2026-02-13 16:00:00,2380.50,2026-02-13 22:00:00,2450.25,2340.00,2475.00,650.00,5,1.30,227.50,226.20,TAKE_PROFIT,6.0
10,ETHUSDT,LONG,2026-02-14 08:00:00,2425.75,2026-02-14 14:00:00,2485.50,2385.00,2510.00,670.00,5,1.34,165.75,164.41,TAKE_PROFIT,6.0
