# SOLUSDT Strategy Configuration
# Currency Pair: SOLUSDT (Solana/USDT)
# Account: $1000 Binance Futures with 5x Leverage
# Strategy: EMA Crossover with Reduced Position Size

parameter_category,parameter_name,parameter_value,description,notes
ACCOUNT,initial_balance,1000,Starting account balance in USD,
ACCOUNT,leverage,5,Binance Futures leverage multiplier,
ACCOUNT,risk_per_trade,0.015,Reduced risk per trade (1.5% due to lower confidence),
ACCOUNT,max_positions,1,Maximum 1 position at a time,
ACCOUNT,taker_fee,0.0005,Binance taker fee (0.05%),
ACCOUNT,maker_fee,0.0002,Binance maker fee (0.02%),
ACCOUNT,funding_fee,0.0001,Approximate funding fee per 8h period,

STRATEGY,name,SOL_EMA_Crossover,Strategy identifier,
STRATEGY,type,EMA_Crossover,Entry on EMA crossover signal,
STRATEGY,timeframe_primary,1h,Primary analysis timeframe,
STRATEGY,timeframe_trend,4h,Higher timeframe for trend direction,
STRATEGY,trade_direction,LONG,Only take long positions,

ENTRY,method,EMA_12_26_crossover,Bullish crossover of EMA 12 over EMA 26,
ENTRY,ema_fast_period,12,Fast EMA period,
ENTRY,ema_slow_period,26,Slow EMA period,
ENTRY,crossover_confirmation,true,Require confirmed crossover (not just touching),
ENTRY,min_crossover_angle,0.5,Minimum angle between EMAs in degrees,
ENTRY,volume_confirmation,false,No volume requirement for SOL,

STOP_LOSS,method,Fixed_percentage,Fixed percentage stop loss,
STOP_LOSS,fixed_stop_pct,3.0,Fixed 3% stop loss,
STOP_LOSS,atr_multiplier,N/A,Not used for SOL,
STOP_LOSS,min_stop_pct,3.0,Minimum stop distance 3%,
STOP_LOSS,max_stop_pct,3.0,Maximum stop distance 3% (fixed),

TAKE_PROFIT,method,Fixed_percentage,Fixed percentage target,
TAKE_PROFIT,fixed_target_pct,4.0,Fixed 4% target,
TAKE_PROFIT,atr_multiplier,N/A,Not used for SOL,
TAKE_PROFIT,min_rr_ratio,1.33,Minimum risk:reward ratio 1:1.33,
TAKE_PROFIT,partial_exit,false,No partial exits for SOL,

POSITION_SIZING,method,Risk_based_reduced,Reduced position sizing,
POSITION_SIZING,fixed_risk_usd,15,Fixed $15 risk per trade (1.5% of $1000),
POSITION_SIZING,max_position_pct,0.3,Maximum 30% of account in one trade,
POSITION_SIZING,position_factor,0.5,50% of normal position size,
POSITION_SIZING,scaling,none,No position scaling,

FILTERS,rsi_period,14,RSI calculation period,
FILTERS,rsi_long_max,75,Higher RSI threshold for volatile SOL,
FILTERS,rsi_long_min,25,Lower RSI threshold for volatile SOL,
FILTERS,max_trades_per_day,2,Maximum 2 trades per day,
FILTERS,cooldown_hours,4,4-hour cooldown between trades,
FILTERS,max_spread_pct,0.15,Maximum acceptable spread 0.15%,

EXIT,time_stop_hours,24,Maximum hold time 24 hours,
EXIT,trailing_stop,false,No trailing stop for SOL,
EXIT,breakeven_trigger,1.0,Move to breakeven at 1:1 R:R,
EXIT,close_on_opposite_cross,true,Close if EMAs cross opposite direction,

BACKTEST_RESULTS,total_trades,9,Number of trades in backtest period,
BACKTEST_RESULTS,winning_trades,4,Number of profitable trades,
BACKTEST_RESULTS,losing_trades,5,Number of losing trades,
BACKTEST_RESULTS,win_rate,44.4,Win percentage,
BACKTEST_RESULTS,total_pnl_usd,-59.46,Total profit/loss in USD,
BACKTEST_RESULTS,total_pnl_pct,-5.95,Total profit/loss percentage,
BACKTEST_RESULTS,profit_factor,0.83,Gross profit / gross loss,
BACKTEST_RESULTS,max_drawdown_pct,19.7,Maximum drawdown percentage,
BACKTEST_RESULTS,sharpe_ratio,-0.53,Risk-adjusted return metric,
BACKTEST_RESULTS,average_trade_pnl,-6.61,Average P&L per trade,
BACKTEST_RESULTS,largest_win_usd,188.90,Largest single winning trade,
BACKTEST_RESULTS,largest_loss_usd,181.05,Largest single losing trade,

OPTIMIZATION_NEEDED,issue,low_sample_size,Only 9 trades in backtest,
OPTIMIZATION_NEEDED,issue,break_even_strategy,Nearly break-even but not profitable,
OPTIMIZATION_NEEDED,recommended_fix,Increase_sample,Need more historical data,
OPTIMIZATION_NEEDED,recommended_fix,Tighten_stops,Try 2.5% stop instead of 3%,
OPTIMIZATION_NEEDED,status,MARGINAL,Strategy needs refinement,
