trade_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,position_size_usd,leverage,fees_usd,gross_pnl_usd,net_pnl_usd,exit_reason,trade_duration_hours
1,SOLUSDT,LONG,2026-01-16 10:00:00,98.50,2026-01-16 18:00:00,95.25,95.55,102.44,300.00,5,0.60,-99.00,-99.60,STOP_LOSS,8.0
2,SOLUSDT,LONG,2026-01-20 14:00:00,102.75,2026-01-20 22:00:00,99.67,99.67,106.86,320.00,5,0.64,-95.25,-95.89,STOP_LOSS,8.0
3,SOLUSDT,LONG,2026-01-24 08:00:00,95.50,2026-01-25 08:00:00,97.80,92.64,99.32,280.00,5,0.56,67.50,66.94,TAKE_PROFIT,24.0
4,SOLUSDT,LONG,2026-01-28 16:00:00,88.25,2026-01-29 02:00:00,85.60,85.60,91.78,290.00,5,0.58,-87.75,-88.33,STOP_LOSS,10.0
5,SOLUSDT,LONG,2026-02-01 12:00:00,85.50,2026-02-01 20:00:00,82.94,82.94,88.92,300.00,5,0.60,-90.00,-90.60,STOP_LOSS,8.0
6,SOLUSDT,LONG,2026-02-05 08:00:00,82.25,2026-02-06 08:00:00,85.54,79.78,85.54,310.00,5,0.62,101.25,100.63,TAKE_PROFIT,24.0
7,SOLUSDT,LONG,2026-02-10 14:00:00,88.75,2026-02-11 00:00:00,86.09,86.09,92.30,295.00,5,0.59,-78.75,-79.34,STOP_LOSS,10.0
8,SOLUSDT,LONG,2026-02-15 06:00:00,92.50,2026-02-15 16:00:00,89.73,89.73,96.20,305.00,5,0.61,-84.75,-85.36,STOP_LOSS,10.0
9,SOLUSDT,LONG,2026-02-20 10:00:00,87.25,2026-02-21 10:00:00,90.74,84.63,90.74,315.00,5,0.63,100.50,99.87,TAKE_PROFIT,24.0
10,SOLUSDT,LONG,2026-02-25 18:00:00,92.00,2026-02-26 04:00:00,89.24,89.24,95.68,290.00,5,0.58,-82.80,-83.38,STOP_LOSS,10.0
